Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1093958	 624047	 111778	 79360	 51670	 26618	 31389	 22635	 0	 0	 
1019058	 27938	 14451	 27743	 4478	 6577	 6991	 768	 0	 0	 
350657	 37484	 27201	 8245	 1464	 2516	 1857	 1122	 0	 0	 
1542358	 302876	 20171	 46267	 129512	 52116	 12333	 5828	 0	 0	 
602814	 45148	 19416	 15793	 32492	 11761	 8919	 1394	 51	 43	 
329290	 10760	 10890	 21989	 4174	 9914	 4409	 3956	 69	 60	 
1078399	 69698	 17117	 28130	 4277	 9671	 2012	 2368	 75	 64	 
520952	 30094	 31665	 93317	 17900	 5814	 13605	 1739	 69	 88	 
63962	 35254	 33684	 151841	 8684	 4854	 3945	 3577	 43	 100	 
18696	 21966	 5304	 96464	 6788	 2185	 15708	 1914	 8	 100	 
264837	 244198	 77126	 31990	 21101	 15130	 26538	 2162	 1	 100	 
179027	 31073	 4345	 13266	 9341	 15247	 5454	 3969	 29	 83	 
1084062	 380220	 58168	 93047	 35787	 24874	 20472	 10511	 40	 60	 
1767537	 76375	 54177	 50702	 54823	 22578	 9383	 7006	 66	 43	 
1480875	 117009	 68627	 25152	 23415	 13508	 14691	 5431	 70	 48	 
1763877	 253663	 65782	 11911	 31095	 21555	 22860	 11883	 50	 47	 
388604	 131895	 11504	 19583	 15657	 5048	 3179	 938	 44	 41	 
424187	 60929	 32415	 16846	 7187	 15205	 9398	 11435	 47	 40	 
954136	 290357	 305326	 95570	 86954	 71405	 43213	 11935	 51	 44	 
2160216	 108378	 22958	 31306	 21868	 20078	 4046	 1026	 61	 48	 
137403	 32349	 18816	 17706	 53868	 20288	 5426	 3509	 90	 51	 
88973	 67241	 136808	 17825	 7296	 10314	 9120	 2362	 77	 63	 
46411	 28697	 66617	 18593	 16250	 6005	 4152	 3284	 66	 69	 
59255	 10085	 25342	 23210	 14934	 11965	 7921	 1441	 74	 81	 
108125	 3790	 15255	 41369	 19803	 6331	 3964	 1783	 60	 97	 
24306	 14533	 6147	 6860	 10723	 6177	 8483	 2551	 80	 83	 
