Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
2404462	 1001012	 289495	 240123	 60237	 33964	 55996	 60525	 0	 0	 
142168	 133493	 83570	 12712	 11813	 29580	 21464	 4409	 0	 0	 
1156020	 84061	 22250	 20347	 29692	 16815	 24398	 7409	 0	 0	 
1115006	 306968	 15737	 26048	 18815	 24602	 18827	 17926	 44	 30	 
1732628	 326190	 28307	 111494	 39188	 22496	 29204	 8416	 43	 40	 
26489	 46502	 5438	 26391	 6514	 15795	 12688	 3229	 61	 51	 
661926	 54901	 10611	 16347	 13341	 23659	 4245	 4325	 83	 56	 
628072	 58529	 10132	 7789	 12671	 7441	 12695	 3194	 87	 64	 
18222	 14824	 9422	 11152	 12999	 12528	 8792	 7116	 100	 69	 
447050	 64155	 6791	 5271	 14989	 18324	 3502	 2094	 100	 51	 
878159	 284541	 231068	 165630	 50657	 45754	 35274	 7256	 94	 69	 
152955	 95973	 5212	 8838	 4669	 11845	 7643	 2966	 96	 61	 
102778	 18140	 5983	 1526	 2572	 716	 298	 372	 66	 54	 
723774	 41883	 8653	 14187	 23530	 14279	 3128	 1175	 64	 66	 
2074856	 137576	 21742	 16120	 12043	 6110	 3793	 965	 56	 47	 
142997	 137734	 9560	 30031	 10101	 8878	 10918	 2620	 48	 56	 
26400	 36405	 8016	 25504	 14389	 17811	 5846	 4031	 75	 61	 
579253	 152803	 104649	 14296	 35445	 33339	 40572	 52227	 67	 70	 
57396	 32039	 45539	 16129	 26004	 18302	 18233	 12871	 90	 90	 
6882	 105760	 40568	 13313	 20741	 31147	 10219	 12587	 100	 94	 
1666692	 396139	 25359	 41311	 24609	 27286	 16264	 21188	 88	 77	 
1872441	 402634	 93320	 183194	 40570	 33793	 17813	 28688	 78	 78	 
103616	 22589	 5727	 2503	 1385	 2223	 1653	 457	 64	 64	 
322589	 48312	 17654	 12913	 4577	 5486	 1624	 1926	 51	 70	 
606128	 608816	 36340	 14256	 11148	 9810	 4430	 1623	 35	 60	 
68444	 91359	 3112	 405	 1714	 2728	 708	 412	 27	 26	 
