Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
25	 1013666	 68550	 19012	 31106	 11478	 13893	 1140	 5782	 0	 0	 
25	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 
25	 8	 3	 0	 1	 0	 1	 1	 1	 0	 0	 
25	 10	 5	 2	 1	 1	 0	 0	 0	 0	 0	 
54	 308	 207	 58	 98	 27	 19	 20	 10	 0	 0	 
0	 11566	 4125	 2805	 3955	 776	 543	 571	 363	 0	 0	 
29	 11481	 17742	 810	 6445	 2622	 1956	 801	 729	 0	 0	 
0	 35459	 63623	 16881	 100846	 4577	 9547	 6460	 2164	 0	 0	 
0	 53842	 68869	 5337	 45331	 10920	 11910	 13340	 2200	 0	 0	 
0	 120149	 41706	 55631	 74080	 20673	 2941	 3495	 2779	 30	 53	 
0	 340679	 46412	 26398	 27113	 13628	 10566	 10972	 5325	 44	 51	 
0	 312921	 441082	 17024	 43836	 24459	 12726	 15240	 7890	 41	 34	 
0	 1587828	 570785	 95592	 61547	 48899	 25821	 9260	 3525	 41	 23	 
0	 273408	 226075	 31768	 28021	 5942	 19482	 25209	 17260	 57	 1	 
0	 886705	 432988	 52704	 48318	 33373	 34762	 43807	 26152	 51	 1	 
0	 1103646	 31145	 16607	 21676	 4578	 4609	 3996	 1248	 64	 13	 
0	 45425	 13331	 1327	 2501	 1346	 1209	 967	 389	 74	 13	 
0	 107201	 111514	 38706	 21255	 8203	 20203	 7021	 4108	 80	 20	 
0	 177119	 126801	 32327	 20081	 17453	 42201	 6451	 7298	 94	 24	 
0	 772518	 455233	 60199	 32437	 19783	 11266	 7121	 2256	 80	 3	 
0	 154606	 96305	 18934	 21406	 19520	 10003	 7587	 977	 80	 7	 
0	 1136469	 1142679	 126324	 173682	 292069	 302670	 12989	 32726	 88	 1	 
0	 2214477	 1266784	 490154	 163535	 124570	 236795	 65827	 42446	 80	 1	 
26	 2274017	 43681	 12146	 11797	 5490	 4087	 883	 656	 80	 1	 
0	 1423649	 297903	 10622	 48266	 31633	 77781	 11284	 2261	 100	 1	 
0	 837019	 126601	 49834	 20134	 15984	 28207	 14567	 4382	 100	 1	 
