Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
0	 152234	 172291	 35490	 3916	 21192	 27083	 11584	 8753	 56	 35	 
0	 305850	 42284	 12356	 3520	 9259	 6396	 2708	 1160	 64	 51	 
0	 179155	 68565	 9946	 2512	 9826	 6789	 3141	 2850	 66	 30	 
0	 50361	 63908	 3855	 18825	 20594	 14386	 16106	 7173	 60	 27	 
0	 52515	 42065	 16543	 7314	 8060	 14621	 15374	 2313	 63	 37	 
0	 25786	 60019	 40134	 37189	 43136	 20524	 7465	 6722	 66	 47	 
0	 1547425	 65835	 22050	 18056	 12669	 8153	 4458	 3829	 64	 61	 
0	 1026955	 37616	 26254	 20768	 8406	 10459	 18855	 7117	 63	 80	 
0	 149924	 7168	 2858	 1828	 536	 711	 344	 233	 51	 84	 
0	 1872873	 71227	 4171	 26603	 18632	 4704	 13989	 6168	 43	 78	 
0	 82306	 13204	 25270	 46408	 12634	 8503	 5421	 6559	 44	 93	 
0	 40644	 11906	 22770	 154185	 8043	 8330	 3772	 3579	 37	 100	 
0	 29895	 45868	 21484	 25025	 6801	 6386	 21962	 3533	 37	 94	 
0	 1818447	 175770	 56326	 67778	 10152	 13228	 10703	 9230	 35	 93	 
0	 165728	 13939	 3303	 3442	 4460	 2983	 3299	 1202	 38	 66	 
0	 593930	 139190	 20822	 16072	 4819	 10257	 8704	 2393	 40	 38	 
0	 67038	 23842	 7094	 19773	 13335	 9665	 11017	 11181	 48	 35	 
0	 28946	 33796	 60340	 34813	 15768	 10621	 13573	 12267	 54	 43	 
0	 229174	 9242	 15050	 31494	 8966	 8196	 8704	 20725	 56	 60	 
0	 27743	 10807	 65147	 93118	 8019	 15973	 14729	 6167	 60	 87	 
0	 26920	 20296	 19142	 48887	 5629	 9822	 11460	 10745	 56	 97	 
0	 9213	 7910	 105774	 11773	 12673	 10004	 13297	 7652	 54	 100	 
0	 1636533 8846	 25524	 21314	 13137	 6150	 2227	 3408	 51	 100	 
0	 64725	 57475	 11703	 14632	 15077	 20297	 5675	 5203	 60	 80	 
0	 200416	 123594	 1716	 2885	 6002	 1992	 344	 365	 43	 48	 
