Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
0	 154285	 154819	 106374	 40369	 23486	 7496	 5258	 11819	 0	 0	 
0	 8974	 7638	 1937	 1119	 1405	 1322	 2123	 377	 0	 0	 
0	 210554	 54895	 26554	 20211	 6936	 5613	 5701	 1203	 0	 0	 
0	 620083	 241575	 34689	 6934	 9478	 4639	 8175	 3147	 30	 30	 
0	 2667414	 269460	 64020	 132990	 54251	 91076	 48809	 8210	 50	 38	 
51	 1140307	 306683	 4611	 55778	 85577	 17625	 3398	 3207	 50	 38	 
0	 86075	 35661	 11511	 11835	 5760	 4824	 2976	 681	 57	 44	 
0	 2010099	 312122	 60092	 20954	 33117	 44072	 13823	 6374	 70	 41	 
0	 304968	 22813	 2116	 5874	 9865	 14496	 4728	 2198	 100	 41	 
0	 640718	 125901	 7807	 58123	 25252	 8984	 7318	 5236	 84	 40	 
0	 1727801	 20188	 2693	 9727	 11811	 12673	 7998	 2549	 97	 34	 
0	 830520	 20399	 51996	 13232	 3336	 5381	 3072	 902	 90	 61	 
0	 457385	 15005	 4255	 2731	 3109	 1648	 2076	 590	 74	 69	 
0	 278814	 49416	 63993	 17191	 17875	 15285	 5427	 1791	 81	 77	 
0	 673277	 314934	 33931	 35761	 47750	 28263	 13084	 11263	 64	 69	 
0	 2421706	 378109	 39452	 50819	 10898	 27286	 11126	 7160	 64	 43	 
0	 221899	 86060	 10024	 13107	 8802	 7062	 2608	 1001	 63	 38	 
0	 189675	 24781	 9310	 30498	 16128	 12012	 4625	 1490	 66	 35	 
0	 1536651	 146930	 19229	 23730	 14305	 23227	 8810	 3845	 70	 38	 
0	 1385801	 146076	 55518	 28290	 9282	 33195	 23719	 12924	 81	 47	 
0	 177144	 67410	 20436	 4514	 3071	 2393	 4227	 1599	 74	 51	 
0	 13234	 39877	 23794	 12162	 14846	 23120	 15918	 16932	 78	 44	 
0	 101991	 15110	 990	 3160	 1040	 1571	 1467	 551	 74	 47	 
0	 8512	 43091	 25338	 31250	 22484	 14562	 13455	 7415	 74	 51	 
0	 79817	 151610	 63535	 8655	 18064	 23059	 26219	 4672	 88	 53	 
