Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1567505	 741100	 428357	 126555	 120373	 26316	 52936	 45890	 0	 0	 
791932	 54498	 36606	 41323	 19504	 9492	 4773	 1683	 0	 0	 
548954	 15880	 10033	 9113	 4646	 2088	 1211	 517	 0	 0	 
827694	 85654	 39720	 27238	 17923	 16646	 14079	 9198	 51	 30	 
231671	 42360	 5109	 4096	 2418	 2512	 834	 483	 54	 13	 
101251	 27829	 3608	 3510	 2125	 2145	 2691	 2121	 60	 1	 
362553	 34248	 4283	 6493	 4345	 3110	 3772	 1732	 67	 1	 
12960	 6695	 4859	 4873	 3656	 26629	 8067	 11534	 78	 1	 
2983	 6381	 9486	 16029	 9109	 21891	 7531	 6159	 91	 10	 
425086	 11495	 8533	 5858	 11167	 3172	 2605	 2261	 90	 35	 
90937	 27057	 26600	 23365	 11846	 39046	 13957	 10310	 96	 57	 
1058654	 43672	 18288	 7948	 6221	 20290	 14924	 3048	 81	 66	 
150700	 10576	 9371	 4935	 4764	 1737	 823	 458	 63	 69	 
2246402	 331607	 15897	 40174	 19497	 8097	 6505	 3306	 50	 43	 
197875	 485120	 45907	 49324	 29616	 31151	 28910	 18093	 34	 13	 
196279	 52710	 9924	 24111	 27637	 8893	 5470	 3738	 24	 20	 
575513	 46294	 12487	 15763	 8792	 5730	 5186	 3517	 24	 10	 
1379085	 508323	 73587	 20953	 9875	 10523	 23294	 3844	 23	 10	 
3201372	 418897	 57705	 21771	 31435	 44758	 15884	 26626	 26	 10	 
942877	 70636	 12541	 30819	 30525	 57416	 65893	 11148	 40	 1	 
1605314	 230216	 144668	 46281	 53084	 20452	 12896	 6395	 37	 8	 
1715904	 127724	 20391	 27275	 35230	 13411	 18350	 3771	 48	 21	 
2641948	 130330	 12707	 20718	 6272	 11415	 4659	 4132	 48	 30	 
2151720	 148884	 255	 15734	 19997	 9403	 8172	 3358	 29	 17	 
