Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
145578	 24748	 24093	 8619	 6537	 1268	 1924	 3373	 0	 0	 
45198	 3900	 2808	 2923	 2707	 1838	 848	 828	 0	 0	 
858398	 182295	 24712	 19036	 21387	 12335	 4567	 7255	 0	 0	 
10660	 29567	 10397	 74362	 6603	 9394	 10357	 18397	 44	 51	 
365026	 64222	 11669	 22453	 7322	 14776	 11602	 3070	 54	 51	 
133234	 34568	 9810	 74411	 8443	 8707	 6585	 13604	 57	 63	 
132782	 29796	 5153	 114753	 11762	 5431	 4842	 3389	 54	 80	 
49408	 41062	 5159	 38446	 6490	 14678	 5579	 11498	 61	 69	 
104714	 6790	 14883	 238805	 14281	 10745	 19677	 3730	 50	 93	 
222736	 14053	 1169	 9425	 827	 1763	 2215	 1063	 50	 81	 
157541	 81507	 23311	 30772	 25182	 14517	 6790	 2128	 60	 64	 
140419	 432851	 42441	 16639	 6026	 8151	 10540	 12834	 37	 50	 
1962331	 196912	 47789	 29678	 22150	 21649	 35232	 7662	 43	 23	 
453119	 14355	 2445	 3835	 3528	 1871	 553	 416	 44	 16	 
38141	 105575	 29461	 133521	 27804	 10748	 20867	 12125	 35	 24	 
63518	 29381	 13264	 44304	 4937	 9026	 15706	 4395	 53	 44	 
128077	 57270	 3636	 179931	 14424	 8399	 11307	 1873	 47	 61	 
31571	 32939	 11537	 95363	 10635	 17019	 6412	 4683	 50	 77	 
16700	 23331	 21757	 34746	 11005	 5922	 8672	 8390	 56	 80	 
20776	 40414	 41834	 142417	 35413	 13149	 6931	 2214	 51	 83	 
570493	 69550	 12961	 57382	 11964	 7713	 5955	 3985	 54	 74	 
3133122	 172200	 1321	 29090	 15804	 9536	 11479	 1426	 47	 51	 
61060	 41764	 28739	 8589	 7412	 13078	 4452	 5696	 53	 44	 
3053343	 133995	 2720	 4758	 18467	 28698	 58107	 10589	 64	 14	 
1084563	 142623	 46837	 47570	 15382	 29876	 11650	 11821	 74	 11	 
14402	 11799	 48622	 55276	 5959	 7078	 8376	 5980	 75	 41	 
3499	 10632	 12209	 143026	 10435	 13184	 6885	 2700	 66	 60	 
