Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
276417	 30329	 19419	 5516	 6766	 3304	 1683	 3847	 0	 0	 
1914407	 81663	 42033	 41380	 39375	 5716	 4060	 3831	 0	 0	 
581532	 43807	 9730	 6078	 5003	 3479	 1717	 571	 0	 0	 
360058	 27871	 7132	 9294	 2227	 3126	 6790	 1835	 0	 0	 
1085944	 113627	 137591	 30553	 13788	 24417	 26744	 8236	 0	 0	 
1023588	 88267	 15701	 6389	 20167	 18006	 16961	 26214	 51	 30	 
20003	 4032	 7402	 9297	 3960	 23408	 21948	 6341	 75	 37	 
730170	 33673	 5789	 8455	 1251	 2115	 349	 517	 61	 37	 
2682901	 284369	 21460	 109275	 18798	 12823	 5043	 3227	 61	 37	 
115684	 6755	 3537	 4151	 5327	 5233	 1826	 990	 70	 40	 
907533	 37723	 5833	 17990	 9151	 8880	 3579	 1770	 56	 50	 
704757	 22027	 10275	 5255	 2971	 2448	 768	 393	 56	 50	 
983965	 250281	 58615	 20816	 14789	 31546	 12162	 25953	 26	 41	 
1074443	 338240	 173453	 121589	 109603	 46270	 81111	 32480	 30	 48	 
513039	 772702	 12578	 232981	 21299	 85767	 32730	 20789	 14	 41	 
1446356	 76055	 12830	 10887	 4966	 14514	 3994	 2533	 14	 37	 
651109	 48038	 18442	 41471	 7014	 3903	 1575	 475	 14	 37	 
1009722	 29810	 11988	 2984	 3166	 3917	 1816	 436	 14	 37	 
662786	 23599	 9128	 1440	 1016	 7653	 2016	 1841	 24	 40	 
729162	 323399	 21726	 33477	 64124	 61237	 18300	 15091	 35	 21	 
900975	 110686	 51383	 23871	 28689	 11106	 16063	 4025	 29	 27	 
547853	 22048	 8394	 4546	 3218	 1634	 2862	 1011	 14	 35	 
181586	 25789	 2009	 1389	 1637	 2161	 1803	 536	 3	 23	 
401555	 150038	 24920	 30060	 3529	 12736	 7542	 3800	 1	 35	 
1875423	 40499	 6677	 9992	 5109	 3217	 4900	 1108	 1	 30	 
267657	 18006	 21342	 4894	 9970	 3704	 4096	 1730	 1	 37	 
