Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
207018	 323969	 40335	 29100	 9534	 4570	 7167	 15360	 0	 0	 
151816	 42808	 11894	 2804	 4496	 2112	 3453	 1060	 0	 0	 
965600	 84625	 29711	 19019	 4761	 7066	 2332	 1837	 0	 0	 
360870	 2585	 4620	 1341	 1723	 1308	 659	 482	 51	 53	 
482465	 36799	 44015	 16575	 26034	 13678	 9789	 2518	 64	 61	 
550191	 5740	 254	 1927	 251	 1042	 2380	 752	 77	 60	 
117721	 13661	 4189	 7463	 13509	 21453	 11351	 11474	 100	 53	 
718900	 32814	 15890	 11501	 6231	 6851	 10283	 4832	 96	 47	 
1128593	 71565	 14392	 28183	 10589	 10296	 21274	 5052	 91	 40	 
980281	 90356	 28584	 8357	 8176	 5506	 5097	 3358	 80	 41	 
1127723	 119090	 12594	 10861	 6880	 8445	 2091	 971	 60	 37	 
707224	 50087	 1856	 5508	 8303	 10457	 4226	 2993	 60	 37	 
142064	 18537	 26969	 16698	 6664	 11983	 4209	 510	 60	 37	 
2116010	 122268	 32279	 9950	 27138	 5627	 5624	 1931	 51	 24	 
1420269	 125983	 19100	 13581	 7620	 10431	 13418	 1789	 48	 16	 
58271	 18438	 2627	 3950	 1633	 2298	 2448	 1054	 54	 13	 
59754	 13419	 1885	 2695	 1655	 2153	 2168	 562	 60	 17	 
496636	 352181	 39060	 6466	 8590	 9155	 17587	 3007	 56	 8	 
385633	 272573	 3801	 16318	 8280	 8010	 12215	 6068	 50	 1	 
1065099	 116505	 80410	 21401	 40368	 13342	 10637	 7941	 48	 8	 
124262	 50735	 2855	 3918	 2138	 1954	 3693	 669	 38	 1	 
710769	 115385	 71007	 13253	 22278	 7003	 17352	 3847	 41	 24	 
1188132	 92446	 13932	 6563	 9357	 19866	 6113	 6850	 54	 37	 
1439418	 277960	 11809	 15402	 30472	 39874	 46119	 15709	 60	 11	 
702857	 810423	 128155	 48338	 22049	 58325	 46414	 7749	 64	 17	 
649912	 17660	 3593	 9509	 811	 4122	 3145	 589	 75	 16	 
