Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
367600	 125870	 86443	 46254	 19375	 15800	 8687	 13826	 0	 0	 
277501	 74054	 9199	 27110	 7416	 2310	 4822	 966	 0	 0	 
55999	 5690	 4997	 1912	 8944	 2678	 2660	 2033	 0	 0	 
146892	 12552	 1429	 3238	 1196	 470	 877	 391	 34	 30	 
82535	 23474	 17833	 34050	 20067	 15136	 17557	 5094	 44	 44	 
25407	 52733	 2576	 5886	 6244	 19101	 9680	 6795	 61	 26	 
847218	 235361	 25014	 55497	 36890	 9980	 7728	 4813	 56	 21	 
151146	 17280	 32194	 58146	 3134	 7836	 6471	 4597	 66	 53	 
165644	 31301	 25890	 70322	 14797	 16714	 16639	 6375	 63	 53	 
659580	 70427	 39005	 123099	 19099	 14463	 9246	 7094	 48	 87	 
51932	 10819	 41637	 29395	 10119	 4969	 3038	 4017	 54	 100	 
162375	 84412	 14557	 77521	 4290	 10146	 13181	 4765	 51	 96	 
42468	 29391	 7635	 83795	 5845	 6277	 8153	 6641	 43	 100	 
31315	 25799	 9081	 150609	 7966	 9340	 3204	 1595	 41	 100	 
920777	 594639	 55203	 4474	 14038	 15973	 23088	 4526	 34	 70	 
138457	 55693	 5764	 6123	 4494	 4890	 2278	 1335	 35	 51	 
391738	 101688	 7699	 25553	 20728	 5361	 3983	 2893	 30	 26	 
99300	 9421	 1060	 642	 1075	 744	 1002	 135	 35	 1	 
770484	 251251	 89442	 51367	 17956	 31856	 23413	 11970	 44	 8	 
318485	 64392	 5223	 1983	 3584	 3394	 2829	 2000	 41	 1	 
158841	 104466	 11565	 38373	 29873	 25421	 15345	 7028	 56	 3	 
138381	 42634	 4286	 4009	 4078	 5712	 1293	 2112	 60	 4	 
102375	 53940	 5627	 4482	 8631	 3168	 2529	 1485	 54	 1	 
