Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
0	 144768	 141550	 11364	 17499	 5362	 4722	 5172	 4156	 0	 0	 
0	 111935	 39216	 1702	 1675	 1783	 2236	 1639	 706	 0	 0	 
0	 307875	 72046	 12122	 9033	 11508	 22229	 15281	 3525	 0	 0	 
0	 549412	 318285	 137216	 26375	 24232	 32900	 9631	 12740	 40	 53	 
0	 1680718	 275666	 297874	 25412	 145552	 42432	 174051	 22607	 41	 74	 
0	 709224	 429110	 25591	 35030	 11168	 16700	 39847	 10662	 35	 70	 
0	 1612025	 159365	 24153	 28831	 14304	 19252	 14393	 11317	 40	 80	 
0	 716716	 48373	 11630	 12492	 4352	 18448	 7789	 2855	 53	 77	 
0	 1203627	 22191	 11396	 14538	 5926	 9694	 4763	 949	 64	 77	 
0	 2831410	 364750	 2816	 59852	 19443	 20496	 20044	 4188	 66	 78	 
0	 277596	 33278	 54944	 7552	 2987	 3826	 3952	 1240	 57	 93	 
0	 1789375	 345106	 65341	 40807	 16979	 31214	 13364	 9864	 44	 87	 
0	 407486	 36596	 16133	 32615	 2830	 3398	 2865	 1206	 27	 84	 
0	 183234	 88156	 4959	 9949	 9325	 5611	 2783	 1166	 29	 80	 
0	 781356	 44373	 16770	 5075	 4381	 3825	 845	 844	 30	 64	 
0	 834091	 157507	 3147	 8529	 10104	 7508	 9096	 2759	 26	 50	 
0	 415272	 120277	 8373	 2918	 4965	 4549	 4623	 1837	 24	 23	 
0	 1127339	 58574	 11847	 3390	 16994	 15542	 14239	 1714	 38	 23	 
0	 449422	 54811	 3549	 3078	 1666	 1678	 3396	 2707	 30	 8	 
0	 544886	 212487	 9016	 25495	 5664	 17532	 12898	 8039	 37	 16	 
0	 213486	 177528	 49883	 60464	 20350	 39597	 59166	 7823	 51	 35	 
0	 2007415	 67687	 40327	 53305	 10723	 26438	 33073	 5186	 48	 54	 
0	 322610	 247016	 18000	 33790	 13996	 25685	 16778	 16458	 57	 60	 
0	 26387	 120934	 14165	 12754	 9354	 12268	 8619	 936	 60	 63	 
0	 623717	 121181	 51183	 4613	 13429	 21619	 4489	 1918	 57	 60	 
0	 79340	 22739	 548	 19949	 9766	 5512	 4535	 1818	 56	 54	 
