Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
664804	 273267	 124739	 36372	 39996	 21594	 28429	 23543	 0	 0	 
931455	 139134	 9178	 9680	 4390	 8446	 3109	 2501	 0	 0	 
777511	 201958	 154167	 30709	 39936	 15052	 54512	 9077	 0	 0	 
26114	 5933	 607	 715	 778	 369	 402	 217	 41	 37	 
445342	 42979	 3349	 8419	 3493	 4852	 3629	 1235	 64	 35	 
69530	 9013	 3390	 7621	 7225	 8874	 6922	 3435	 88	 41	 
406967	 119030	 1242	 4186	 3656	 3452	 3662	 816	 69	 23	 
8553	 13796	 5419	 18858	 5046	 38991	 10228	 3716	 91	 34	 
336863	 17878	 3121	 2188	 1108	 1240	 628	 542	 56	 38	 
2209	 6273	 3718	 4035	 10914	 24882	 13410	 4526	 56	 29	 
108499	 18608	 4410	 969	 1041	 1089	 371	 145	 63	 51	 
23318	 11292	 2294	 5474	 13663	 16480	 7978	 7739	 56	 43	 
159588	 16227	 12196	 6422	 1954	 1425	 2834	 477	 53	 57	 
113157	 8291	 4384	 1964	 2348	 2377	 1479	 758	 29	 69	 
45217	 11737	 10402	 13393	 7526	 26644	 5749	 4259	 56	 78	 
136801	 31771	 5827	 6337	 3944	 4503	 1510	 432	 35	 83	 
484385	 7966	 10769	 6536	 2447	 2889	 1035	 541	 47	 87	 
5831	 22105	 10015	 10049	 6740	 9370	 7890	 3721	 50	 87	 
403702	 15650	 4929	 2282	 5487	 2736	 1907	 934	 29	 81	 
5075	 16240	 8160	 6952	 4066	 19337	 7822	 6850	 48	 84	 
164650	 43713	 10730	 6053	 1294	 3033	 4146	 433	 40	 69	 
9598	 9419	 10924	 5423	 4863	 8899	 11189	 1842	 43	 74	 
19310	 10509	 8901	 31528	 15440	 11288	 6851	 1598	 50	 87	 
3104	 6225	 2718	 2332	 8243	 16489	 5175	 12023	 60	 75	 
301184	 64896	 7455	 4850	 4485	 3055	 1801	 604	 56	 66	 
6123	 25825	 12437	 8494	 1448	 5569	 4525	 5122	 47	 64	 
51924	 100858	 14322	 25539	 13861	 13412	 9428	 6083	 37	 50	 
62939	 28055	 2225	 3877	 7357	 6953	 3929	 8758	 16	 50	 
118458	 34768	 31424	 3132	 3015	 3145	 1739	 1176	 17	 67	 
280879	 36538	 2232	 9943	 2019	 1416	 2174	 547	 4	 60	 
838	 16973	 9778	 10066	 14076	 10993	 5181	 7045	 16	 64	 
97218	 36904	 18641	 4155	 2283	 3832	 1625	 736	 4	 81	 
284567	 28754	 2503	 3213	 8724	 3439	 3650	 895	 13	 60	 
623473	 197064	 7949	 23155	 33481	 9272	 6313	 3305	 16	 51	 
142364	 94762	 3905	 14456	 2316	 4664	 748	 520	 1	 40	 
8468	 11175	 5752	 25960	 16998	 9818	 12391	 6784	 10	 44	 
52320	 33257	 14700	 1390	 7688	 4859	 8561	 2887	 10	 54	 
234619	 3913	 2640	 914	 784	 667	 266	 68	 17	 74	 
30297	 34482	 6206	 15970	 11217	 5385	 5503	 4954	 24	 83	 
13618	 44144	 13810	 3592	 8570	 17322	 8285	 5683	 26	 69	 
92343	 15426	 7313	 450	 1700	 1602	 1804	 1037	 23	 70	 
34614	 2424	 804	 1321	 594	 434	 279	 304	 24	 70	 
15136	 14415	 27655	 9773	 18036	 9082	 6554	 3045	 29	 80	 
134504	 62032	 30150	 6650	 4187	 1616	 600	 782	 7	 88	 
142527	 14978	 27232	 12110	 3852	 6573	 5300	 1333	 14	 100	 
10907	 5210	 878	 3352	 11101	 9427	 3687	 4761	 38	 88	 
1338670	 379712	 10813	 32708	 11270	 14406	 7798	 2193	 27	 63	 
7124	 22194	 2960	 20193	 3191	 20668	 19694	 2404	 57	 63	 
150807	 67965	 6282	 4677	 3319	 3072	 1652	 512	 48	 37	 
271284	 18422	 13156	 2534	 7127	 4033	 2642	 1018	 29	 48	 
67309	 16956	 10881	 11591	 23581	 18307	 15035	 4344	 51	 63	 
44027	 10435	 6920	 901	 7254	 7108	 4082	 2490	 50	 57	 
59789	 36915	 1089	 4186	 7082	 1424	 1737	 573	 48	 54	 
21649	 20936	 21890	 5440	 6357	 7991	 9716	 3270	 51	 60	 
1882	 11935	 4768	 10544	 13331	 9897	 6765	 2652	 50	 61	 
57760	 32378	 14053	 21191	 8251	 13593	 6098	 2296	 43	 69	 
166780	 31154	 1918	 1490	 1518	 673	 231	 207	 38	 66	 
