Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
186863	 68321	 78273	 63913	 8972	 10176	 10204	 12792	 0	 0	 
1749752	 176368	 42156	 20524	 19472	 9120	 7333	 2039	 0	 0	 
2166422	 702042	 84474	 46360	 38660	 42733	 10611	 7924	 0	 0	 
57148	 22493	 1043	 5005	 2916	 2133	 492	 174	 0	 0	 
23126	 3686	 1282	 1817	 2703	 2188	 3116	 800	 53	 51	 
106919	 65845	 5074	 1412	 2389	 2098	 548	 382	 43	 34	 
115545	 31265	 4212	 905	 233	 1542	 317	 207	 37	 26	 
19197	 3241	 7413	 4442	 4131	 967	 462	 401	 35	 50	 
432687	 255474	 19435	 50049	 14784	 25382	 5107	 1705	 20	 34	 
1347485	 28640	 2317	 7572	 10643	 2720	 3283	 1777	 27	 48	 
1210994	 70670	 24043	 6602	 9192	 7182	 2000	 1430	 34	 60	 
1942259	 272831	 59018	 72497	 23359	 49507	 35910	 2602	 40	 43	 
1697653	 21514	 14396	 8073	 3822	 5940	 930	 231	 40	 43	 
2244007	 100239	 59315	 46429	 14211	 13492	 4562	 2085	 40	 43	 
105597	 26619	 1059	 1336	 1269	 1256	 1399	 763	 34	 27	 
1766254	 125873	 88088	 60993	 43998	 43892	 38630	 20341	 41	 44	 
785947	 27061	 3781	 9264	 3859	 4307	 8855	 1300	 44	 44	 
104959	 12764	 963	 742	 646	 784	 2596	 484	 37	 26	 
208759	 32649	 5762	 2304	 2373	 5577	 1120	 117	 48	 41	 
605848	 58625	 32466	 4600	 15241	 19408	 6890	 1839	 48	 41	 
984608	 35044	 25866	 7233	 2834	 5605	 4622	 1887	 48	 41	 
845641	 465382	 111025	 35722	 31812	 42052	 27986	 12005	 41	 24	 
1601140	 708446	 27396	 223362	 25622	 28084	 26930	 7573	 26	 24	 
11480	 12572	 2995	 2543	 510	 934	 1726	 501	 26	 41	 
605727	 17114	 5795	 1924	 1869	 1650	 1136	 999	 17	 51	 
1469687	 26900	 8111	 14178	 5964	 6158	 1142	 1774	 17	 51	 
