Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
500895	 193517	 50549	 9275	 21552	 8953	 8302	 17308	 0	 0	 
1020884	 25411	 10419	 10382	 3188	 5113	 1731	 952	 0	 0	 
2401279	 159311	 93161	 26832	 38726	 27796	 28054	 6163	 0	 0	 
582020	 30046	 9279	 4035	 9100	 5029	 2438	 976	 0	 0	 
2400188	 137863	 3631	 9683	 2725	 5402	 2838	 1405	 30	 30	 
2100129	 1168618	 91656	 48075	 27767	 58482	 15080	 9170	 29	 24	 
1415439	 266011	 28636	 22270	 12931	 39383	 5196	 7688	 48	 23	 
1719730	 42779	 11661	 16224	 7940	 2864	 1942	 838	 48	 23	 
1975100	 38233	 22383	 9608	 7723	 10844	 3643	 1551	 48	 23	 
2105994	 49574	 6895	 4520	 3219	 2232	 818	 106	 48	 23	 
1915432	 265808	 60988	 37771	 89458	 131165	 35477	 15391	 48	 23	 
876869	 126920	 9301	 13650	 12280	 10987	 4112	 2330	 48	 23	 
2044611	 163903	 53907	 18994	 9331	 15171	 16139	 3336	 51	 34	 
568951	 49565	 26319	 11546	 9820	 10637	 9018	 4389	 78	 53	 
151055	 77538	 46846	 23870	 7773	 21290	 38540	 28532	 97	 75	 
2228858	 32205	 9873	 6991	 14592	 7169	 2866	 807	 97	 75	 
1342831	 18381	 2525	 7910	 7670	 2342	 1062	 615	 97	 75	 
1556689	 48745	 28192	 20605	 7484	 11338	 2515	 791	 97	 91	 
269156	 111878	 8038	 7089	 2000	 3066	 1182	 667	 78	 77	 
740926	 182429	 48955	 25731	 11737	 19514	 4025	 5267	 78	 77	 
478927	 38860	 5350	 10273	 2907	 10556	 3882	 1982	 78	 77	 
191251	 43064	 43757	 2505	 4174	 8337	 7443	 4708	 75	 81	 
729478	 42611	 42771	 6108	 6078	 7439	 5388	 4850	 64	 84	 
586727	 495582	 65559	 43191	 19690	 35598	 77127	 12719	 48	 69	 
813174	 84967	 612	 10824	 6445	 8254	 8513	 6700	 78	 69	 
85116	 9747	 2794	 3867	 1651	 10941	 6281	 8637	 87	 57	 
