Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
232326	 223040	 56966	 21900	 34352	 9964	 3493	 8218	 0	 0	 
756346	 40650	 16946	 5114	 3146	 1874	 132	 365	 0	 0	 
569921	 10574	 22108	 8589	 3099	 4846	 2260	 753	 0	 0	 
89572	 79205	 11395	 7856	 5952	 18631	 5923	 1128	 51	 30	 
428760	 32617	 13195	 4667	 7397	 1319	 1198	 320	 43	 30	 
71187	 50855	 6946	 7065	 5326	 8079	 2227	 2115	 51	 23	 
215005	 27922	 7058	 10974	 5877	 7315	 5383	 2423	 61	 23	 
26230	 18635	 1660	 3428	 3485	 5934	 4261	 2938	 64	 21	 
55906	 10746	 754	 4958	 2792	 3736	 1479	 3136	 87	 20	 
78888	 16019	 749	 1572	 3623	 1437	 1083	 386	 83	 13	 
110050	 54898	 6812	 1669	 520	 1073	 470	 223	 57	 3	 
79514	 32480	 3947	 1988	 2639	 2052	 767	 1607	 41	 1	 
111390	 60022	 5279	 15027	 2313	 6708	 3202	 3130	 34	 1	 
77686	 24986	 3081	 2269	 1633	 2653	 1107	 304	 34	 4	 
49206	 27155	 7727	 2208	 1131	 4954	 831	 483	 54	 10	 
51415	 32734	 2869	 2175	 1318	 4893	 710	 490	 63	 8	 
32687	 26378	 3594	 484	 2014	 6180	 1069	 338	 74	 1	 
44024	 34379	 2060	 1813	 1545	 7599	 1758	 401	 81	 1	 
8897	 16260	 1589	 6795	 11933	 4443	 2167	 1962	 84	 1	 
9646	 9827	 6413	 4386	 5964	 9611	 1785	 2032	 100	 7	 
34940	 27583	 2360	 10803	 13216	 20393	 4174	 4000	 100	 11	 
219553	 276255	 36957	 66609	 34800	 8066	 16070	 4488	 84	 24	 
206339	 110750	 41144	 13440	 8412	 18224	 4111	 6863	 80	 27	 
145115	 121001	 10552	 1379	 1429	 2760	 1115	 391	 44	 11	 
63795	 27190	 4866	 3124	 2795	 1298	 1114	 1153	 16	 13	 
317774	 9922	 2899	 2445	 856	 5559	 772	 602	 47	 13	 
24478	 44274	 29245	 2424	 1060	 798	 1320	 884	 21	 20	 
