Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1403197	 870509	 286366	 188787	 127863	 45278	 36115	 82122	 0	 0	 
277418	 104063	 8660	 3635	 4167	 21013	 22053	 8133	 0	 0	 
234722	 15255	 4637	 3054	 1797	 1827	 1333	 1564	 0	 0	 
1676052	 650513	 65722	 70649	 35561	 70290	 29171	 18670	 43	 40	 
149805	 17571	 9133	 2366	 2127	 847	 906	 892	 34	 54	 
978988	 255190	 129672	 31277	 51770	 15104	 10338	 4178	 26	 69	 
758028	 145445	 6819	 36211	 26865	 53804	 22011	 13775	 47	 69	 
347208	 123176	 5179	 27980	 16063	 33887	 26429	 4278	 60	 70	 
168587	 41201	 2297	 21972	 12229	 11579	 19632	 5780	 84	 66	 
429316	 155061	 128291	 31129	 25391	 18480	 10690	 3807	 91	 70	 
15685	 11117	 13890	 931	 8853	 22087	 18429	 9306	 93	 80	 
94670	 14744	 792	 4143	 2404	 1569	 2113	 1101	 75	 81	 
1219080	 72846	 7246	 12705	 7865	 4567	 8146	 6010	 54	 77	 
1265657	 431236	 91700	 35043	 14224	 24212	 14546	 23501	 47	 61	 
73447	 36348	 5983	 15031	 5885	 5844	 2442	 1051	 23	 66	 
834903	 67470	 33216	 9343	 9120	 7231	 2802	 2117	 21	 75	 
19181	 40225	 24146	 15657	 51933	 20204	 20325	 15717	 38	 81	 
1066966	 34399	 4118	 8560	 14778	 10471	 1582	 2051	 56	 78	 
310213	 40487	 7554	 4379	 6239	 3273	 3388	 611	 51	 67	 
8567	 13858	 3075	 24032	 9356	 21073	 24846	 4954	 74	 70	 
30580	 14808	 8280	 13941	 12281	 16254	 12185	 3503	 78	 77	 
75865	 26333	 10864	 5645	 2256	 1704	 1821	 1280	 60	 90	 
7210	 15424	 3408	 3284	 16038	 9047	 2437	 1899	 80	 87	 
552375	 47820	 2795	 1639	 5889	 3738	 2616	 571	 60	 57	 
14484	 11414	 2658	 16922	 23805	 6654	 10750	 4582	 51	 56	 
279384	 43074	 6768	 2016	 1386	 2492	 1778	 767	 54	 41	 
