Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1074830	 738661	 191930	 106529	 87627	 41437	 36558	 52680	 0	 0	 
503210	 140881	 33533	 25188	 5864	 7474	 11667	 1312	 0	 0	 
2135107	 38341	 20608	 15006	 8420	 12701	 9167	 3612	 0	 0	 
400521	 70861	 27591	 42043	 13006	 37906	 14424	 5674	 53	 51	 
464928	 226575	 20750	 34533	 22048	 30685	 16410	 16000	 56	 34	 
104188	 123050	 15134	 592	 2279	 9068	 6463	 2195	 53	 14	 
809627	 98660	 8597	 13405	 6316	 7624	 5871	 5496	 51	 8	 
224861	 113490	 17468	 3985	 4799	 4912	 12238	 6021	 27	 1	 
2046671	 63021	 31405	 4404	 8671	 38650	 20240	 18146	 43	 7	 
553401	 370757	 67875	 25685	 15064	 20622	 40800	 8883	 38	 21	 
1270507	 312252	 32743	 11121	 8575	 30547	 29033	 20961	 43	 13	 
50969	 110824	 8155	 3178	 5613	 9111	 5238	 5859	 51	 4	 
1816498	 206173	 26509	 14599	 10143	 8439	 5559	 3439	 24	 1	 
992927	 119811	 10441	 13741	 7715	 5214	 3810	 1697	 23	 1	 
55299	 37648	 5957	 9097	 19239	 16782	 14484	 12006	 38	 10	 
1275057	 90892	 26153	 15889	 17567	 15025	 32423	 10462	 41	 37	 
19991	 15057	 11129	 11329	 10995	 31099	 94410	 7218	 75	 50	 
559308	 185890	 13608	 7925	 10552	 21829	 36984	 9325	 84	 40	 
536888	 644481	 25942	 61641	 19927	 29654	 47739	 22288	 61	 29	 
1771895	 218558	 10540	 34887	 33196	 21355	 31871	 15062	 56	 14	 
2257269	 151636	 31036	 10935	 20946	 51781	 23143	 12848	 44	 1	 
1131871	 102249	 28120	 18115	 34706	 39937	 32354	 17936	 53	 23	 
2102224	 400307	 122810	 33455	 63206	 35529	 31756	 10862	 57	 40	 
633528	 91875	 14688	 7461	 9094	 10960	 8199	 5023	 60	 43	 
55486	 16399	 14072	 13989	 3018	 7761	 5292	 3365	 56	 69	 
44644	 13998	 16023	 1222	 6299	 38035	 42418	 3873	 69	 67	 
