Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
33683	 19138	 26110	 63603	 10881	 14708	 5244	 2601	 74	 66	 
59787	 58064	 20822	 8171	 5482	 7399	 4780	 3931	 60	 69	 
52540	 95962	 44582	 49308	 4697	 9337	 8648	 3047	 43	 70	 
93636	 24396	 123895	 45230	 7650	 11304	 8827	 4470	 37	 70	 
569749	 36726	 29800	 93900	 11842	 12470	 2483	 4077	 30	 70	 
82212	 19357	 146834	 16153	 10648	 10879	 2991	 3560	 26	 93	 
29929	 21109	 16324	 39365	 16439	 9360	 3585	 2039	 35	 96	 
13287	 31489	 43533	 22537	 9477	 6103	 7041	 2283	 35	 87	 
765959	 286361	 111115	 16754	 44600	 23906	 30351	 13361	 30	 70	 
704367	 128659	 63299	 39573	 28437	 23738	 14280	 12260	 37	 53	 
240505	 23898	 11415	 44504	 12094	 12448	 5081	 2547	 40	 53	 
1051638	 194039	 23309	 13371	 15722	 13229	 9029	 3640	 38	 30	 
606648	 24726	 2751	 3300	 4941	 2098	 795	 1540	 40	 24	 
51673	 7095	 7440	 9297	 1983	 8580	 4172	 3035	 54	 29	 
160851	 11412	 8316	 5660	 2777	 6066	 932	 849	 57	 24	 
44884	 22109	 52929	 52995	 2312	 8559	 5081	 6832	 61	 51	 
23414	 17655	 97662	 67329	 3603	 12267	 6115	 2899	 60	 81	 
34856	 118317	 26489	 6611	 9106	 10169	 7936	 3898	 41	 69	 
10201	 54448	 55627	 33538	 7339	 11762	 9669	 4472	 29	 74	 
18834	 28483	 7986	 128031	 7295	 3102	 5905	 4753	 16	 77	 
115745	 108418	 54820	 33509	 1903	 15274	 6030	 2948	 17	 57	 
16529	 28589	 75391	 10996	 6547	 11591	 1421	 2655	 23	 77	 
240928	 101489	 7352	 27195	 13638	 11612	 7964	 4198	 23	 63	 
12028	 18766	 104636	 48272	 5290	 4048	 8282	 3970	 26	 66	 
16403	 55853	 40764	 6444	 3010	 14892	 3791	 2783	 34	 66	 
42492	 25230	 148051	 6445	 6129	 3084	 2519	 3670	 16	 75	 
27030	 11410	 63270	 25032	 9547	 5829	 4394	 2177	 11	 96	 
12422	 26187	 77169	 6236	 9542	 13794	 3589	 1364	 29	 84	 
28996	 14456	 38837	 82789	 12430	 7139	 2203	 2052	 17	 100	 
42587	 37908	 164818	 15316	 7194	 8671	 8612	 1426	 26	 97	 
75741	 42684	 126559	 12865	 8203	 7693	 12308	 5943	 23	 94	 
69145	 33601	 70273	 9123	 12555	 8940	 4600	 6475	 17	 93	 
50578	 18262	 15979	 105875	 10218	 10299	 4599	 3524	 23	 93	 
31881	 13559	 69194	 83633	 3658	 15811	 6061	 2747	 30	 96	 
49939	 51397	 79917	 96796	 11619	 7015	 6293	 11082	 27	 96	 
