Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
0	 1143107	 189387	 111112	 55873	 14008	 13756	 51471	 20588	 0	 0	 
0	 754262	 501027	 103264	 43479	 44305	 22248	 52154	 21694	 0	 0	 
0	 74157	 45507	 34971	 35091	 41249	 30225	 16899	 27105	 0	 0	 
0	 754263	 105242	 50871	 113813	 27359	 55574	 46860	 18712	 50	 53	 
0	 236044	 54613	 16794	 14186	 6916	 13912	 9194	 4431	 57	 54	 
0	 572639	 261486	 73490	 52775	 35415	 74863	 59139	 24955	 69	 51	 
0	 1567122	 140434	 47363	 23703	 5426	 8709	 15208	 3429	 64	 54	 
0	 532284	 93489	 74901	 9795	 20916	 11730	 9226	 3517	 53	 48	 
0	 374282	 23712	 11434	 23564	 4218	 8538	 8760	 3183	 53	 63	 
0	 590160	 114559	 7518	 6203	 9428	 18820	 10689	 4494	 50	 48	 
0	 35927	 52976	 4269	 3077	 1634	 4236	 4506	 1318	 54	 29	 
0	 105785	 10208	 4966	 1038	 1330	 4162	 2777	 1118	 69	 23	 
0	 149371	 27458	 5217	 8748	 2160	 2692	 2697	 935	 60	 11	 
0	 215968	 26263	 937	 1301	 3069	 2595	 2093	 222	 56	 11	 
0	 1168105	 98098	 9491	 15950	 6646	 15907	 15245	 12346	 61	 21	 
0	 70656	 22714	 400	 2658	 1333	 4578	 6914	 907	 56	 8	 
0	 359044	 231969	 63251	 33908	 19714	 16042	 33655	 8609	 54	 7	 
0	 645785	 281632	 34596	 10797	 18932	 24446	 9762	 10500	 51	 17	 
0	 961122	 31114	 8956	 2251	 9577	 15158	 5831	 1328	 63	 16	 
0	 1227910	 97429	 19987	 54683	 10857	 14013	 3712	 4557	 54	 41	 
0	 793098	 33469	 9622	 2730	 3823	 2370	 1362	 1432	 54	 41	 
0	 363909	 69213	 14497	 7627	 4241	 4108	 3645	 871	 50	 48	 
0	 189330	 135132	 50738	 10186	 41016	 29528	 9822	 3700	 41	 54	 
0	 102266	 15431	 755	 3505	 2106	 1790	 1831	 403	 43	 40	 
0	 1200641	 95358	 23408	 24372	 40822	 23371	 19603	 14192	 54	 40	 
