Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
68114	 31885	 25355	 11932	 3832	 1127	 1704	 3784	 0	 0	 
2539316	 108233	 49865	 39998	 28533	 23210	 15438	 4398	 0	 0	 
29995	 28617	 1511	 10146	 6934	 25509	 21942	 6834	 0	 0	 
21692	 13702	 22285	 35444	 13241	 17620	 16424	 11277	 47	 53	 
627698	 117623	 30034	 14074	 6528	 4208	 4900	 883	 43	 50	 
103347	 25331	 16834	 75595	 7167	 4992	 7316	 4924	 40	 69	 
299575	 26386	 4628	 11715	 7271	 2844	 1070	 896	 40	 70	 
103467	 29893	 21225	 38588	 11679	 15418	 6965	 2238	 38	 67	 
431703	 147098	 79737	 85126	 22323	 7196	 6175	 4158	 38	 80	 
120192	 5448	 10692	 123841	 3068	 23033	 7268	 1921	 44	 84	 
32013	 24467	 17321	 11293	 4845	 9793	 3050	 2441	 51	 88	 
73311	 4988	 3675	 9645	 2334	 1743	 2821	 1022	 48	 91	 
43164	 11952	 20276	 29971	 8499	 18006	 4845	 2201	 61	 91	 
28475	 20460	 4426	 67301	 2578	 4451	 5059	 2372	 54	 88	 
39332	 50431	 36582	 277228	 5794	 7540	 8783	 3534	 41	 100	 
33935	 38880	 58137	 27249	 12435	 5248	 8260	 2212	 37	 100	 
53517	 127318	 37137	 91267	 8584	 13324	 11754	 6563	 26	 97	 
376329	 7695	 2625	 3253	 4429	 2852	 2434	 824	 35	 78	 
149765	 166650	 54059	 19406	 10526	 28428	 12454	 2562	 44	 51	 
397777	 96127	 15058	 12196	 4652	 4124	 2337	 798	 44	 35	 
683867	 96449	 41046	 33374	 11308	 24669	 5374	 2373	 50	 29	 
477657	 159940	 4436	 3789	 4499	 7748	 2411	 2565	 41	 13	 
356969	 125423	 10350	 35910	 32836	 24910	 12252	 17622	 43	 13	 
691955	 21533	 4676	 7501	 4701	 3023	 4707	 1059	 48	 17	 
989179	 190049	 8226	 51329	 51728	 50028	 33361	 36036	 50	 11	 
96780	 39595	 12443	 12690	 7995	 21564	 21263	 4854	 60	 27	 
