Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
229080	 298751	 60669	 46211	 24842	 17196	 6700	 14197	 0	 0	 
61054	 8127	 3458	 4341	 2135	 743	 1237	 543	 0	 0	 
1466160	 179715	 10283	 26979	 25426	 46359	 13433	 11184	 0	 0	 
1410161	 72871	 23954	 20374	 19045	 7919	 5216	 1328	 37	 44	 
860756	 130022	 27195	 16195	 16420	 18207	 8605	 5141	 40	 43	 
827278	 114507	 7094	 9404	 5038	 2764	 2102	 1232	 21	 37	 
556077	 65279	 5367	 12188	 7732	 5099	 1321	 729	 16	 34	 
102554	 99761	 5631	 8687	 10769	 6368	 1837	 1535	 14	 16	 
1947355	 270410	 70010	 19932	 3246	 16335	 9738	 3140	 4	 17	 
299223	 115778	 20878	 49109	 20011	 18971	 10554	 3913	 26	 34	 
87939	 90051	 8155	 941	 9188	 4390	 1239	 988	 23	 21	 
259311	 49368	 1316	 2996	 3167	 1937	 707	 803	 16	 16	 
428455	 34866	 17690	 2517	 1425	 2528	 3023	 1130	 16	 23	 
569368	 59116	 1367	 16657	 10114	 5072	 4031	 2721	 10	 13	 
997146	 218827	 2651	 42588	 20354	 13785	 5298	 2296	 10	 23	 
169689	 10219	 960	 2280	 1730	 1272	 656	 268	 21	 38	 
478634	 46659	 7734	 9647	 7551	 2372	 1276	 522	 20	 30	 
611611	 62439	 36178	 27507	 18041	 6658	 3443	 1287	 16	 48	 
744647	 135996	 4259	 5560	 6354	 6068	 2234	 818	 14	 37	 
73853	 141148	 3594	 2947	 4890	 2742	 2057	 296	 1	 17	 
229906	 28887	 12296	 5563	 1497	 4304	 975	 867	 10	 26	 
850473	 115352	 2147	 26593	 19558	 15516	 8538	 4034	 20	 11	 
2933613	 402271	 35480	 29983	 19329	 16853	 8837	 3326	 21	 26	 
143370	 25136	 4321	 2244	 1629	 2330	 1012	 400	 40	 44	 
99210	 16792	 2782	 3139	 1265	 1159	 592	 409	 30	 40	 
645626	 127576	 28074	 12753	 29391	 18452	 11287	 10526	 30	 41	 
