Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
69877	 122564	 38387	 21482	 10960	 7782	 5131	 12873	 0	 0	 
73622	 33473	 29455	 5020	 18926	 7005	 6298	 5964	 0	 0	 
1640139	 27364	 877	 3557	 4944	 3230	 3178	 1615	 0	 0	 
1458592	 394221	 11360	 47240	 16872	 24232	 15761	 21794	 37	 30	 
1762042	 72705	 100640	 29081	 10580	 29647	 42211	 9867	 60	 54	 
2345365	 98443	 13950	 51113	 16297	 11394	 8602	 3722	 64	 64	 
1175502	 16655	 5589	 10994	 5501	 8791	 2759	 671	 64	 64	 
1391926	 115297	 18286	 4966	 5921	 7628	 6664	 4127	 60	 61	 
323221	 41250	 5961	 1764	 260	 1376	 1625	 305	 44	 66	 
3569327	 10903	 2790	 5561	 5243	 3278	 916	 961	 44	 66	 
218567	 12723	 1133	 1296	 776	 578	 579	 142	 11	 40	 
358207	 28836	 6920	 7802	 12886	 18993	 948	 1246	 11	 40	 
1425460	 31665	 68548	 22314	 38036	 15368	 24423	 6308	 29	 51	 
263120	 58913	 14386	 14133	 6547	 4607	 3265	 934	 34	 61	 
602580	 38785	 12490	 13686	 6525	 3827	 1787	 841	 34	 61	 
620691	 73883	 8788	 6878	 14484	 11032	 5711	 2720	 70	 60	 
718124	 176194	 7235	 8929	 3653	 10636	 4074	 1335	 81	 50	 
215430	 36271	 1677	 4874	 3518	 2560	 3366	 604	 60	 23	 
81917	 17439	 1549	 3528	 1449	 2159	 1302	 1177	 78	 16	 
918514	 61323	 3094	 1645	 7702	 8034	 3485	 11764	 77	 3	 
1221416	 77106	 8138	 511	 3637	 9661	 5285	 6412	 94	 4	 
556894	 176388	 41329	 26329	 8131	 38204	 81026	 20228	 100	 14	 
1828961	 120305	 21521	 48740	 8453	 11039	 3385	 1324	 97	 24	 
1134574	 16770	 7827	 12893	 8258	 6253	 3556	 838	 100	 56	 
1095497	 24624	 4052	 21686	 11956	 12094	 3449	 1131	 100	 56	 
957440	 151709	 123049	 116802	 140539	 83078	 10508	 6874	 100	 56	 
