Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1994289	 748131	 137609	 125795	 67293	 36811	 19420	 45731	 0	 0	 
789474	 19655	 354	 12603	 3278	 2471	 931	 264	 0	 0	 
321565	 11747	 3279	 6906	 3514	 1988	 1114	 405	 0	 0	 
751258	 47759	 146700	 35414	 26093	 22451	 9935	 1148	 50	 53	 
1807249	 47894	 16555	 16973	 7569	 6364	 1794	 1327	 60	 51	 
439543	 41882	 12197	 10457	 4690	 1920	 3715	 496	 50	 48	 
528467	 115754	 18008	 14552	 7267	 5923	 2874	 1294	 43	 37	 
1919542	 71053	 109196	 24641	 18408	 30151	 14279	 10822	 53	 30	 
270965	 56803	 12264	 6299	 2504	 4232	 2455	 1003	 47	 23	 
299675	 64085	 1860	 13022	 3552	 1794	 4078	 3571	 41	 13	 
707614	 214674	 18227	 30137	 17098	 17397	 18021	 9794	 51	 8	 
7585	 3571	 6896	 12224	 5054	 6342	 14604	 8022	 54	 10	 
188644	 27966	 3038	 2369	 2132	 2650	 2576	 1144	 54	 3	 
104325	 47307	 10320	 2312	 1925	 3769	 2803	 804	 67	 4	 
105885	 10240	 3640	 10411	 10910	 21987	 15481	 2900	 88	 13	 
300121	 367884	 53092	 39099	 5644	 15808	 10142	 6785	 51	 1	 
42104	 19097	 11814	 4400	 9289	 16646	 16519	 9445	 66	 3	 
160468	 42151	 3583	 1533	 2145	 2302	 2879	 1354	 56	 1	 
67688	 11365	 2370	 3732	 6840	 6323	 17160	 6947	 47	 1	 
228773	 81388	 21182	 4857	 6852	 6068	 4370	 2123	 51	 1	 
12199	 30885	 4720	 17943	 5330	 6357	 13125	 12637	 35	 3	 
194582	 519667	 10800	 12902	 16389	 21164	 12242	 5317	 34	 3	 
114467	 8261	 153	 837	 739	 552	 1001	 503	 13	 3	 
28110	 19507	 14790	 12269	 7150	 30159	 23442	 11034	 40	 14	 
317953	 183348	 29285	 5182	 4879	 4247	 2114	 1714	 21	 10	 
