Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1169344	 240802	 31581	 50473	 19622	 13071	 10675	 13423	 0	 0	 
22792	 43436	 1945	 9107	 2899	 3121	 3884	 1107	 0	 0	 
112618	 27607	 18824	 6209	 1935	 8530	 7820	 1184	 0	 0	 
605954	 81049	 22099	 9011	 5665	 20293	 28691	 3637	 53	 38	 
74148	 31642	 5573	 16202	 4192	 6155	 6204	 1822	 61	 47	 
154537	 43218	 2799	 7765	 7399	 6179	 1958	 787	 67	 37	 
13901	 6537	 3237	 16210	 16275	 10635	 3883	 1811	 91	 48	 
23588	 20283	 26931	 10090	 10677	 6109	 7298	 6324	 81	 74	 
248974	 40317	 5544	 3158	 1328	 4215	 819	 745	 78	 53	 
26979	 9480	 3996	 2579	 5717	 8599	 2701	 1133	 93	 60	 
208214	 68281	 3013	 5457	 3958	 2297	 963	 269	 56	 30	 
205009	 109819	 37819	 14390	 19198	 4075	 3826	 949	 37	 10	 
312899	 37274	 16104	 37821	 13625	 9350	 7777	 4126	 35	 40	 
1065825	 398975	 42347	 15592	 27095	 6163	 4947	 3557	 1	 27	 
99913	 49826	 13590	 6261	 10110	 1701	 4520	 965	 1	 44	 
703320	 41666	 2469	 10467	 11906	 12647	 5029	 3839	 24	 34	 
236961	 96215	 8095	 4099	 3597	 1225	 1524	 471	 3	 1	 
89221	 16192	 5393	 16615	 2099	 7459	 3972	 2941	 35	 27	 
434890	 92797	 3035	 4906	 3689	 3484	 9338	 4641	 41	 10	 
514336	 57844	 6594	 4861	 3569	 3792	 1999	 1199	 26	 14	 
587648	 336957	 23252	 13858	 12545	 10691	 5628	 10031	 37	 20	 
87860	 37293	 7334	 6375	 1332	 2744	 1183	 485	 21	 7	 
410218	 37716	 33997	 8953	 36474	 35166	 4819	 1924	 50	 30	 
263954	 66349	 13450	 7825	 15006	 13820	 7296	 3522	 63	 35	 
75009	 55535	 1876	 13072	 9843	 6112	 1157	 1313	 74	 44	 
1367000	 83956	 41083	 88799	 15376	 14319	 4454	 2960	 77	 64	 
