Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1534917	 434402	 328958	 187747	 53675	 28812	 24584	 45501	 0	 0	 
83816	 12218	 1971	 2630	 866	 789	 215	 214	 0	 0	 
659488	 191912	 31609	 23441	 7000	 20682	 7374	 5395	 0	 0	 
141568	 30277	 1493	 5509	 7194	 3958	 903	 775	 51	 30	 
1398344	 188067	 8927	 6658	 7478	 8646	 2343	 1179	 50	 14	 
1015834	 325709	 69239	 55103	 34025	 17794	 9010	 6252	 47	 16	 
89821	 13108	 6342	 7576	 2490	 10470	 18777	 2177	 69	 23	 
8971	 27974	 4908	 5791	 7735	 8712	 4015	 6596	 74	 27	 
239139	 7807	 2562	 773	 841	 665	 272	 376	 74	 44	 
30577	 31612	 56539	 31547	 3051	 16340	 4383	 3062	 87	 64	 
1431092	 94051	 25982	 13088	 9122	 9015	 5276	 1137	 61	 57	 
443806	 104606	 10313	 23139	 12741	 9501	 2292	 1197	 47	 60	 
301245	 172543	 6070	 5834	 12488	 3901	 3529	 947	 30	 40	 
187987	 67164	 6687	 17123	 16198	 10522	 5490	 3639	 29	 17	 
273848	 380051	 20219	 6876	 3523	 9534	 9952	 4205	 17	 1	 
8066	 12643	 1238	 17182	 2465	 22019	 6211	 6770	 41	 7	 
1675546	 173068	 65649	 14395	 17728	 15109	 2735	 2913	 51	 26	 
82924	 55660	 13471	 6672	 10207	 8504	 14905	 4176	 48	 26	 
81857	 48009	 14531	 17234	 3213	 3295	 3158	 917	 53	 50	 
91356	 8603	 1472	 12854	 9018	 6387	 4581	 4568	 43	 53	 
44939	 55158	 8051	 15688	 13356	 9305	 6520	 1977	 51	 50	 
400664	 109689	 2110	 4344	 4799	 3052	 3187	 2102	 34	 35	 
3044	 4099	 6870	 6450	 4960	 34885	 5839	 4089	 64	 27	 
14251	 7344	 3614	 1432	 5157	 1785	 4123	 4120	 51	 23	 
1071673	 126809	 4482	 11470	 14409	 6963	 11489	 7500	 38	 13	 
