Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
292414	 59465	 31237	 8938	 6004	 1255	 2399	 3134	 0	 0	 
54391	 30292	 15863	 34722	 12122	 6834	 4219	 1269	 0	 0	 
94483	 17371	 1176	 40664	 7422	 4845	 2796	 3774	 0	 0	 
52023	 54351	 18274	 39308	 5801	 12819	 7474	 3084	 51	 41	 
199794	 45204	 14585	 44095	 8996	 13002	 9104	 4563	 64	 44	 
32996	 22602	 24357	 26197	 12614	 6059	 12612	 6023	 75	 54	 
424869	 19803	 28594	 73412	 12997	 14716	 5579	 3081	 88	 78	 
84840	 73350	 21040	 43979	 13440	 7800	 4244	 1667	 81	 75	 
1617	 45633	 11652	 158795	 10586	 11916	 13576	 5723	 74	 94	 
113351	 36723	 70161	 282732	 15197	 10980	 13286	 9509	 64	 100	 
58673	 125579	 23373	 202353	 56797	 20896	 7290	 1619	 57	 83	 
660945	 35314	 8711	 7060	 5578	 4013	 768	 741	 61	 67	 
105186	 91885	 7366	 5138	 7797	 5493	 4184	 2717	 61	 26	 
492121	 33580	 9876	 15102	 1451	 1757	 2430	 1899	 61	 4	 
83375	 21551	 13226	 33044	 3569	 8595	 8823	 15132	 67	 13	 
93341	 48420	 17009	 30081	 8365	 6708	 10134	 6332	 66	 30	 
96154	 31624	 11878	 99059	 6581	 7758	 11735	 2977	 67	 64	 
29039	 10620	 59564	 41292	 9110	 15768	 5666	 2670	 83	 81	 
25688	 22954	 11804	 79527	 6766	 14813	 5615	 4061	 83	 87	 
54423	 36401	 35824	 27426	 19598	 8573	 5324	 3066	 84	 91	 
58189	 20761	 4111	 62073	 11602	 9019	 6218	 7254	 91	 87	 
27831	 63694	 127929	 14978	 9736	 10928	 6341	 2988	 81	 81	 
79018	 93138	 13388	 18346	 12219	 9692	 3788	 3219	 77	 57	 
58323	 25059	 52732	 67764	 28176	 8069	 9519	 3361	 70	 64	 
68813	 59870	 46115	 87697	 4463	 4857	 6197	 6145	 57	 67	 
