Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
762887	 1282575	 237039	 356468	 107979	 25543	 33339	 55909	 0	 0	 
356664	 101612	 24516	 31785	 8776	 4052	 652	 1271	 0	 0	 
252971	 122964	 23298	 5876	 10935	 5067	 2050	 746	 0	 0	 
637126	 44462	 23321	 6250	 3575	 5098	 899	 702	 51	 51	 
389030	 62946	 10529	 11609	 7543	 4012	 1543	 1121	 61	 50	 
72548	 11417	 3526	 4953	 1340	 961	 2745	 647	 70	 63	 
57151	 5482	 4364	 318	 876	 652	 354	 133	 84	 80	 
52870	 91319	 11592	 2670	 3004	 7210	 5944	 992	 88	 50	 
31430	 60286	 41180	 4965	 1907	 1059	 889	 428	 67	 69	 
163785	 153887	 19571	 8844	 2266	 2327	 2451	 852	 50	 43	 
539283	 74885	 19575	 20389	 22339	 12544	 3622	 2372	 54	 29	 
593681	 40916	 12250	 5657	 4563	 1751	 3109	 2010	 43	 50	 
797877	 221367	 82514	 22162	 28364	 20309	 9804	 2986	 66	 37	 
626473	 28697	 10613	 13704	 19538	 10274	 3607	 2999	 97	 53	 
788983	 35735	 25054	 7616	 8927	 7817	 1666	 1108	 94	 64	 
1847182	 185980	 63557	 41225	 34506	 32391	 16323	 4637	 100	 64	 
1231071	 87620	 32818	 11466	 15778	 16069	 8528	 2416	 100	 64	 
2657123	 174270	 40963	 30518	 37914	 12040	 10227	 4571	 96	 61	 
2794425	 28098	 20705	 85490	 67439	 17633	 9911	 3765	 97	 67	 
830796	 332106	 12631	 21901	 23393	 12793	 5334	 4825	 83	 44	 
533124	 159903	 37710	 30587	 31866	 19744	 8260	 2103	 80	 48	 
229518	 84043	 979	 5321	 7815	 9729	 3649	 1306	 90	 29	 
142913	 18122	 3835	 5484	 5958	 2518	 1808	 3037	 84	 16	 
330298	 61956	 24425	 1037	 4539	 1782	 1562	 725	 78	 43	 
263069	 13351	 12161	 3445	 27588	 19512	 11714	 6690	 88	 41	 
184846	 18693	 1776	 2660	 5988	 2661	 783	 478	 80	 54	 
311317	 202782	 32036	 11730	 14586	 7410	 5176	 3778	 61	 44	 
934790	 376180	 131561	 69535	 6870	 17257	 3731	 2683	 61	 50	 
688543	 78268	 7551	 4813	 6574	 4610	 3622	 918	 40	 41	 
720315	 43652	 16049	 6075	 8377	 11558	 2718	 2326	 43	 51	 
29324	 3627	 913	 9103	 3559	 6199	 4621	 2112	 66	 70	 
60236	 15643	 8147	 4536	 1193	 11362	 1546	 4225	 90	 69	 
23726	 22769	 6005	 12645	 5572	 9411	 6556	 1424	 100	 88	 
43185	 101476	 12788	 11537	 3381	 2505	 2224	 725	 83	 81	 
367926	 23329	 51346	 32628	 14933	 8822	 10229	 2593	 67	 87	 
1060765	 319536	 31648	 78847	 55521	 10208	 9061	 8939	 41	 77	 
300175	 45392	 43721	 5648	 3764	 4586	 1045	 1023	 27	 78	 
639854	 65325	 1664	 7469	 7767	 14850	 7030	 2491	 50	 66	 
161258	 38621	 5265	 13518	 824	 2802	 656	 489	 43	 50	 
1644386	 283402	 30032	 34926	 41760	 26990	 8834	 5779	 54	 44	 
12252	 22202	 7323	 11256	 7280	 14518	 4402	 3410	 74	 37	 
145808	 22466	 20211	 11195	 19234	 7707	 2768	 1194	 70	 60	 
25436	 4339	 638	 3914	 15294	 16628	 6032	 7439	 94	 43	 
151292	 43438	 12985	 2895	 1580	 2469	 918	 809	 87	 51	 
316804	 19244	 1575	 3824	 1088	 2266	 676	 1364	 67	 41	 
11897	 15316	 10247	 2473	 7553	 4022	 2357	 2842	 63	 38	 
221022	 43194	 7322	 3330	 2775	 1891	 917	 431	 35	 44	 
13782	 10416	 5813	 11767	 4289	 6947	 6821	 2722	 48	 56	 
156331	 41430	 2761	 820	 4091	 2689	 473	 720	 44	 41	 
372425	 73043	 3828	 5126	 2850	 4593	 1655	 715	 38	 24	 
68609	 15176	 8818	 8673	 15026	 13702	 5856	 3340	 56	 30	 
456052	 39444	 4483	 1634	 2153	 5014	 884	 586	 50	 8	 
51622	 5285	 28318	 29176	 10391	 7022	 8270	 2493	 53	 48	 
30177	 10385	 13448	 7540	 12724	 8110	 1363	 4334	 64	 66	 
64755	 43076	 8602	 1426	 1431	 1973	 666	 184	 48	 56	 
121739	 130376	 5252	 39089	 12147	 26499	 10453	 6379	 51	 63	 
117047	 26073	 23148	 25608	 11702	 8294	 2382	 4924	 51	 53	 
6397	 3801	 8310	 2655	 949	 5515	 6237	 1895	 53	 57	 
63815	 57195	 20095	 11336	 5726	 3313	 1553	 1167	 53	 67	 
1267755	 61128	 10684	 15162	 7738	 6672	 3675	 1739	 48	 69	 
162007	 143430	 15533	 2269	 3451	 6921	 1091	 323	 41	 44	 
19871	 10290	 104766	 50132	 15313	 9739	 4881	 5997	 27	 54	 
16872	 10660	 20409	 18126	 18116	 6242	 5086	 3975	 37	 61	 
1216346	 49125	 28332	 59676	 4850	 14577	 19696	 4062	 40	 70	 
18949	 26858	 5292	 35246	 13908	 6382	 5050	 1986	 44	 91	 
250364	 44265	 10275	 39173	 14217	 16459	 7703	 9756	 53	 74	 
6190	 20954	 22621	 91298	 8878	 25119	 2657	 3905	 54	 78	 
9654	 14887	 18135	 65357	 12342	 5575	 4354	 3025	 50	 87	 
2916	 11053	 13007	 37744	 15199	 6296	 5068	 8117	 51	 91	 
9930	 29847	 15415	 54122	 3558	 4114	 9018	 3984	 40	 100	 
16763	 15240	 14824	 30012	 16251	 10082	 10404	 5572	 40	 94	 
14596	 9347	 33281	 47292	 8219	 6898	 9776	 3874	 43	 97	 
18640	 13656	 24283	 108061	 8253	 10741	 7606	 6390	 40	 100	 
17358	 26073	 32812	 69515	 14819	 4995	 3076	 6387	 40	 100	 
1570313	 392837	 67433	 24461	 24869	 7922	 7381	 3323	 23	 94	 
131003	 15642	 3332	 1666	 2466	 2744	 1529	 509	 26	 67	 
2659999	 598708	 118339	 87182	 55671	 53028	 46986	 14741	 24	 43	 
375769	 66791	 130636	 21029	 19718	 5863	 3498	 2252	 23	 40	 
2079053	 229208	 59416	 68937	 51482	 53096	 27777	 8159	 38	 44	 
1305163	 110047	 14976	 46561	 23993	 10181	 6281	 3824	 34	 51	 
91048	 42294	 16554	 2716	 3769	 8644	 1123	 507	 38	 53	 
304093	 44729	 3493	 8847	 10050	 13021	 3370	 2301	 54	 30	 
78099	 44561	 15441	 46732	 3800	 19115	 5101	 5080	 54	 40	 
85511	 24646	 4534	 3775	 3531	 2747	 5374	 702	 56	 35	 
71065	 68691	 4273	 8729	 4897	 2248	 856	 1547	 47	 26	 
16304	 39300	 21374	 2456	 8669	 5577	 4536	 2249	 38	 35	 
83433	 18985	 2263	 941	 3314	 2730	 1050	 434	 37	 14	 
36700	 19657	 11782	 4633	 3351	 5984	 3158	 3419	 41	 23	 
108818	 27945	 4556	 3513	 9819	 3343	 1734	 352	 50	 24	 
4667	 14430	 8700	 17239	 7869	 7350	 2642	 4257	 56	 30	 
174545	 11676	 550	 898	 664	 942	 321	 86	 53	 30	 
2583	 7298	 9364	 3781	 5864	 8412	 1271	 1442	 60	 30	 
5527	 12106	 6872	 6941	 6905	 6743	 7560	 1058	 67	 41	 
586625	 100725	 11086	 8385	 4234	 9295	 5312	 3769	 61	 26	 
184255	 127365	 17090	 7666	 10127	 6266	 3546	 479	 56	 30	 
938368	 225935	 53055	 52732	 18585	 15093	 12636	 4187	 40	 26	 
91553	 5146	 3786	 1391	 2845	 1157	 441	 630	 34	 26	 
46657	 31189	 19324	 15655	 14156	 7059	 3938	 1624	 35	 41	 
3107	 1511	 3107	 12168	 1593	 6754	 2250	 1592	 51	 63	 
417285	 79638	 2260	 11511	 2741	 8825	 7966	 2623	 56	 53	 
23724	 18176	 12952	 9385	 2245	 5797	 2207	 1908	 60	 56	 
12439	 1920	 4637	 4813	 7081	 3661	 1967	 1396	 67	 56	 
138045	 144858	 3094	 10047	 8380	 6210	 1645	 554	 51	 27	 
2942916	 93222	 4781	 22740	 14312	 17027	 3918	 3900	 54	 30	 
174836	 37325	 7518	 12170	 6501	 2773	 2031	 648	 47	 24	 
321102	 52655	 9647	 10745	 947	 6775	 2987	 2324	 38	 14	 
227169	 31312	 21482	 27297	 29074	 38408	 7592	 2039	 56	 34	 
777943	 66108	 28189	 3032	 11499	 6158	 1624	 1937	 50	 38	 
212167	 97025	 26468	 6687	 4879	 6545	 5893	 7225	 50	 37	 
65097	 63537	 3988	 5859	 6866	 5922	 5472	 5911	 50	 26	 
106688	 8732	 4513	 705	 484	 2215	 1429	 1837	 41	 26	 
9687	 9862	 5295	 7543	 13501	 11907	 5274	 6561	 54	 24	 
605289	 7118	 10361	 7503	 8426	 6837	 2960	 2330	 67	 35	 
38785	 27696	 16010	 3300	 17562	 10242	 3452	 2497	 75	 44	 
205959	 40174	 11501	 7271	 9414	 12520	 2283	 3918	 78	 41	 
137253	 71127	 3332	 12898	 2836	 4514	 5002	 1701	 61	 37	 
4627	 4000	 5108	 8573	 6739	 6740	 2190	 1142	 63	 35	 
