Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
558439	 322046	 488291	 220240	 76204	 37306	 11956	 37102	 0	 0	 
867125	 927149	 35600	 235848	 12156	 19682	 6412	 2917	 0	 0	 
842284	 24067	 4793	 13782	 25512	 5713	 3049	 2226	 0	 0	 
1346921	 75408	 6672	 6334	 9498	 5511	 2774	 2154	 44	 30	 
2359191	 242730	 22590	 113297	 32633	 14636	 5861	 6431	 47	 35	 
210803	 45559	 24182	 11251	 29626	 15348	 7737	 8538	 63	 35	 
168806	 102453	 475	 4247	 7063	 3235	 2712	 2865	 61	 16	 
129370	 27736	 5333	 863	 1059	 975	 869	 248	 53	 20	 
63715	 40959	 2019	 8132	 2965	 5044	 2023	 1831	 61	 13	 
49139	 57418	 24428	 7974	 8059	 29290	 12135	 4039	 67	 11	 
304250	 20326	 806	 8964	 8239	 2067	 1814	 2022	 78	 29	 
354516	 105032	 2792	 2782	 4757	 3452	 2627	 1810	 78	 16	 
145106	 41856	 6314	 8135	 1577	 2370	 4075	 912	 70	 20	 
1589811	 179897	 22018	 8678	 15045	 17168	 5758	 2733	 56	 13	 
596878	 301818	 158544	 86734	 42552	 20658	 15790	 8419	 50	 20	 
105163	 229722	 56536	 34575	 11234	 18963	 7855	 4458	 56	 37	 
1463524	 147071	 8354	 19318	 7395	 8109	 3343	 2711	 57	 30	 
257074	 6686	 12880	 4662	 3284	 2885	 1675	 1389	 61	 51	 
959636	 13430	 2252	 8684	 3981	 2710	 4083	 2776	 74	 50	 
76505	 13612	 5918	 2101	 669	 3175	 4600	 2371	 81	 51	 
3556	 9466	 5342	 1686	 13879	 10758	 20973	 4769	 100	 53	 
241704	 285235	 50541	 7698	 23957	 9444	 4775	 6672	 84	 35	 
913555	 493774	 74398	 29392	 17161	 8332	 15548	 11523	 63	 26	 
553829	 22538	 17434	 6118	 7293	 10742	 33060	 11977	 63	 27	 
8552	 13485	 10280	 9765	 7146	 8969	 5861	 9337	 54	 40	 
5051	 6418	 2292	 5532	 3286	 6760	 7017	 7038	 81	 47	 
