Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1368045	 296632	 81415	 42580	 54963	 6932	 9757	 11385	 0	 0	 
686862	 249480	 32590	 34054	 29187	 24325	 4741	 5485	 0	 0	 
170025	 194544	 10963	 15981	 8811	 1499	 3597	 527	 0	 0	 
934385	 134635	 36946	 14742	 36648	 12628	 9370	 2551	 51	 44	 
1654323	 86579	 13183	 15409	 21199	 8117	 2501	 2402	 63	 48	 
380506	 60539	 9774	 10741	 4473	 2392	 801	 514	 67	 54	 
25786	 2911	 859	 135	 379	 299	 138	 74	 81	 61	 
77852	 3365	 1163	 2056	 1231	 876	 220	 50	 88	 77	 
1900102	 108498	 34882	 43755	 26839	 13906	 2491	 1056	 88	 91	 
1841162	 246606	 21495	 64426	 74872	 19544	 4145	 10357	 93	 88	 
1562116	 151298	 68783	 22733	 10818	 17719	 8248	 5390	 93	 100	 
145859	 873562	 173722	 157097	 74702	 15666	 9940	 2121	 74	 91	 
1530466	 360037	 267738	 42008	 63750	 50593	 18859	 7882	 74	 96	 
615003	 180072	 20436	 19103	 12107	 17997	 4066	 2335	 77	 91	 
996100	 213707	 23484	 14842	 21318	 21365	 2404	 1459	 77	 91	 
387005	 15010	 11331	 2095	 3813	 2413	 399	 223	 77	 91	 
1208945	 19209	 9757	 5636	 3786	 1979	 597	 230	 77	 91	 
140972	 49455	 4677	 10325	 1718	 913	 1050	 421	 61	 80	 
265722	 283215	 19863	 44175	 60423	 10760	 9622	 3192	 61	 80	 
1640425	 186330	 15059	 14692	 12128	 6145	 1122	 1534	 61	 80	 
1653853	 229281	 68353	 67730	 37155	 23326	 9628	 4765	 75	 87	 
378979	 16947	 2974	 826	 1145	 498	 765	 156	 64	 61	 
146961	 65629	 4178	 6547	 3432	 6923	 768	 1146	 66	 54	 
415320	 126792	 16175	 12575	 9812	 2564	 2276	 1385	 67	 48	 
1484201	 559360	 8750	 39770	 17767	 24889	 10037	 5929	 63	 11	 
