Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
2937571	 202702	 6844	 9145	 32811	 12854	 6595	 11481	 50	 20	 
101715	 13883	 29848	 9444	 11412	 14334	 10425	 2108	 61	 40	 
16754	 24598	 5058	 6168	 5275	 10343	 7857	 4589	 70	 41	 
1502	 32165	 6721	 7040	 10283	 20060	 7782	 3555	 67	 35	 
129428	 46433	 341	 719	 1432	 1177	 784	 151	 61	 35	 
53078	 52936	 7545	 10678	 16957	 15546	 9981	 1087	 60	 20	 
11719	 7059	 8210	 6739	 12374	 37974	 14866	 2819	 74	 24	 
59774	 9010	 2516	 1552	 2172	 351	 556	 221	 51	 35	 
5832	 18854	 13411	 5364	 4606	 12649	 4631	 2679	 69	 64	 
73207	 47149	 4689	 946	 1007	 2821	 3956	 1064	 57	 60	 
726200	 28227	 49956	 9247	 17725	 11432	 3367	 2554	 38	 74	 
281312	 108959	 13364	 1578	 6422	 2495	 2744	 1377	 35	 63	 
292619	 17903	 5153	 3866	 2130	 2836	 3880	 1050	 26	 60	 
48988	 18129	 9097	 44536	 11831	 7694	 11408	 10234	 30	 83	 
26155	 26205	 17807	 102213	 6750	 16618	 5986	 6980	 30	 90	 
58797	 34054	 12084	 49296	 21734	 6102	 8827	 4760	 41	 100	 
32121	 7660	 18285	 102788	 3356	 9295	 5914	 2525	 38	 100	 
25792	 64065	 10790	 44110	 18150	 3381	 6458	 4883	 27	 100	 
2540598	 227736	 37513	 58934	 14554	 18866	 13064	 7313	 23	 84	 
696668	 36313	 5787	 30317	 18538	 6432	 6756	 1206	 23	 84	 
476117	 150260	 12768	 2206	 1827	 2935	 2381	 1201	 11	 63	 
700380	 128866	 25096	 21430	 7041	 6160	 6213	 3386	 7	 40	 
205420	 31582	 21673	 3991	 2103	 8076	 4510	 1639	 20	 40	 
51753	 66716	 51606	 14279	 35180	 49143	 21358	 6350	 30	 41	 
105460	 76290	 41929	 31304	 34754	 23055	 13801	 7290	 50	 53	 
655409	 111739	 5576	 40747	 14466	 15117	 9229	 3188	 56	 53	 
35430	 29942	 106701	 102285	 26525	 25340	 15295	 1727	 53	 64	 
27973	 15445	 6735	 55049	 8300	 4300	 8542	 5430	 40	 77	 
11435	 9085	 12381	 105920	 2934	 7723	 11220	 5368	 34	 96	 
9036	 13039	 25607	 166072	 11619	 9720	 5021	 2124	 27	 100	 
143676	 50924	 29352	 84642	 9104	 8218	 7125	 2471	 23	 100	 
790736	 142616	 58106	 14172	 17582	 13690	 17702	 6961	 23	 100	 
142031	 18150	 28746	 10856	 23014	 5791	 5605	 2898	 26	 84	 
85324	 21590	 5362	 10814	 1528	 1409	 1409	 349	 24	 69	 
297733	 77031	 21570	 10082	 4675	 9201	 3600	 1264	 27	 57	 
2187082	 254066	 25588	 16652	 24365	 10895	 7868	 1866	 23	 51	 
33720	 21342	 3521	 8062	 7126	 21345	 13045	 7006	 38	 41	 
50412	 60489	 76308	 40836	 19555	 43381	 29382	 14830	 51	 43	 
247544	 11767	 1819	 1520	 620	 1996	 749	 187	 56	 40	 
37786	 40399	 19391	 23423	 5274	 15963	 17234	 2591	 69	 51	 
97152	 73248	 12610	 4727	 8764	 8009	 2497	 378	 54	 50	 
125572	 11553	 8092	 2801	 13808	 2859	 2907	 1877	 50	 44	 
123176	 46911	 5666	 3582	 5670	 2841	 3595	 980	 43	 41	 
1066277	 311637	 55578	 26905	 15371	 48085	 11940	 9401	 38	 35	 
33833	 17020	 10029	 21997	 13052	 14481	 4420	 4888	 48	 43	 
