Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
98678	 48049	 14482	 5880	 4625	 2264	 1999	 6164	 0	 0	 
386185	 83958	 14647	 34211	 8319	 19144	 12933	 10767	 0	 0	 
316419	 20227	 8815	 5269	 2698	 1662	 1198	 1021	 0	 0	 
16509	 8759	 7749	 17393	 37184	 15015	 25444	 4786	 51	 41	 
290623	 138779	 3736	 30304	 33216	 63583	 27588	 10653	 64	 23	 
139251	 21059	 2959	 5940	 2305	 4535	 1934	 436	 67	 27	 
941484	 80861	 10189	 2201	 5933	 3562	 611	 930	 61	 10	 
20481	 14567	 25098	 8212	 13899	 15514	 12426	 6473	 60	 30	 
3446428	 148132	 122682	 4510	 34772	 17741	 10930	 4439	 47	 67	 
126904	 53735	 6831	 3823	 7992	 4720	 1254	 959	 40	 47	 
5340	 5237	 35925	 11932	 6720	 18936	 9474	 4012	 57	 88	 
5782	 6852	 6604	 32747	 7699	 19132	 20402	 4144	 60	 84	 
148845	 2819	 649	 1120	 1005	 1221	 549	 117	 70	 64	 
22212	 22524	 22212	 12036	 7654	 13780	 3078	 3035	 81	 96	 
15249	 7036	 7464	 14779	 13923	 7708	 5918	 4560	 80	 87	 
109482	 26229	 6329	 5388	 6139	 1858	 1084	 891	 61	 64	 
4017	 4390	 21508	 6101	 6986	 4333	 1936	 3620	 56	 88	 
66514	 33502	 17508	 2732	 6942	 1414	 1200	 981	 38	 77	 
39599	 18465	 1071	 4758	 9898	 13241	 4114	 1483	 43	 44	 
4855	 6976	 7048	 7673	 12861	 11252	 5944	 3734	 63	 50	 
133668	 11423	 993	 812	 544	 1012	 173	 199	 57	 8	 
28768	 8139	 5932	 5624	 7509	 14333	 3693	 2496	 84	 4	 
9568	 14644	 15144	 10698	 8023	 9035	 5486	 1528	 78	 35	 
17582	 10224	 9388	 5127	 3295	 16874	 7793	 5611	 81	 37	 
704382	 31730	 10223	 967	 3309	 1872	 381	 247	 77	 47	 
6640	 28498	 19099	 3252	 11624	 18005	 11102	 10435	 69	 44	 
1233380	 155895	 33921	 18757	 27325	 118645	 14744	 14053	 78	 17	 
381906	 60415	 26548	 3193	 4926	 5160	 3347	 1309	 56	 16	 
850880	 354294	 107842	 73392	 21038	 13375	 16003	 4824	 53	 26	 
71535	 8758	 7748	 765	 6620	 4260	 1701	 811	 50	 30	 
61084	 18639	 7140	 13648	 3662	 12872	 2792	 5783	 44	 53	 
60499	 16944	 20218	 4885	 14596	 30411	 9616	 8557	 66	 51	 
324332	 11413	 1739	 925	 2066	 2030	 1729	 620	 80	 30	 
20821	 11570	 17947	 9105	 27433	 12863	 11226	 3083	 83	 35	 
261340	 226560	 56517	 15961	 27066	 13360	 10896	 4531	 66	 20	 
91448	 15942	 1292	 4011	 2699	 2526	 2619	 1422	 51	 13	 
88135	 73311	 4400	 1173	 5657	 3603	 1666	 1366	 43	 10	 
9426	 113843	 54546	 43080	 35296	 18377	 6446	 9025	 30	 13	 
93800	 17398	 4717	 20065	 9187	 10862	 9556	 3627	 47	 34	 
17732	 5799	 9226	 18080	 3044	 24689	 13506	 2643	 61	 54	 
3089	 4721	 11933	 15609	 24203	 19170	 7472	 5979	 81	 83	 
170428	 51211	 11759	 3871	 2720	 4865	 1841	 1101	 78	 74	 
26807	 14958	 6218	 16125	 17618	 11264	 6729	 3535	 80	 69	 
5337	 10962	 3744	 1920	 5641	 14842	 6080	 5235	 81	 51	 
198970	 31075	 19351	 47176	 18126	 9272	 13433	 4702	 67	 60	 
41413	 16507	 14718	 10585	 7872	 18574	 7529	 5717	 83	 69	 
77388	 11982	 7201	 2181	 2489	 3791	 4227	 1935	 78	 70	 
313601	 150864	 43484	 18960	 17974	 22914	 3542	 4875	 61	 80	 
121961	 42323	 12866	 7431	 6189	 4236	 3800	 564	 57	 66	 
37016	 9801	 5252	 15054	 18367	 9489	 10459	 7266	 56	 63	 
7017	 6836	 3048	 6244	 8828	 9778	 12752	 6907	 64	 60	 
38240	 90449	 52775	 42777	 14732	 23349	 19585	 9805	 66	 67	 
3060945	 138466	 76757	 17587	 27994	 16846	 11282	 5957	 66	 70	 
3497	 4241	 3192	 5401	 7316	 19532	 9194	 4195	 80	 63	 
4814	 9331	 2890	 9530	 19121	 14633	 7394	 9863	 81	 60	 
13154	 13367	 7225	 17107	 8632	 13081	 9936	 5363	 90	 60	 
280653	 38405	 6123	 14826	 5476	 4077	 1070	 708	 88	 57	 
86184	 9006	 6488	 76774	 24139	 14589	 8199	 8387	 69	 81	 
197145	 52087	 3597	 1325	 2204	 2331	 911	 960	 48	 66	 
9011	 25203	 11954	 11845	 8417	 9961	 6624	 8240	 44	 63	 
10137	 16218	 13500	 5699	 10176	 15420	 14386	 7722	 60	 63	 
390852	 53253	 2007	 4034	 5472	 2054	 4889	 2719	 48	 27	 
84954	 25811	 11826	 9982	 14519	 15437	 8066	 2016	 64	 47	 
17208	 21916	 17954	 15030	 9777	 10486	 4044	 13210	 63	 51	 
31748	 186264	 112489	 48599	 37709	 36745	 13730	 12786	 51	 54	 
1750639	 221171	 32756	 29379	 34451	 24517	 15607	 5954	 57	 66	 
55754	 17921	 12171	 4073	 5782	 3652	 3880	 2802	 48	 70	 
118113	 19480	 3962	 1627	 2310	 1831	 632	 321	 41	 54	 
101376	 182116	 39307	 3986	 13366	 14954	 4751	 3086	 38	 41	 
546123	 166802	 12443	 28965	 10115	 14996	 10077	 4071	 37	 41	 
26956	 5114	 2973	 3395	 2855	 8065	 11608	 1772	 51	 37	 
