Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
3474187	 1279556	333428	 172592	 107492	 34670	 29992	 63059	 0	 0	 
288895	 43432	 11151	 3611	 1576	 2825	 968	 551	 0	 0	 
178572	 18448	 2549	 3399	 1054	 639	 1270	 482	 0	 0	 
182684	 13228	 8402	 5650	 2450	 1530	 3185	 597	 54	 54	 
949608	 88604	 86749	 62485	 33120	 22256	 28032	 9239	 78	 78	 
959025	 137244	 4620	 26194	 7290	 8636	 11834	 9762	 90	 61	 
185547	 170163	 130406	 11684	 4977	 9430	 7447	 5976	 90	 77	 
414874	 25087	 4009	 4839	 1440	 2229	 3743	 856	 90	 53	 
204804	 168348	 31134	 2941	 4214	 11993	 11714	 4752	 80	 11	 
2001977	 435669	 77384	 236561	 222312	 153208	 44596	 34348	 91	 26	 
376521	 24910	 9782	 2135	 3823	 1991	 942	 285	 91	 26	 
1389145	 148478	 13312	 46289	 34712	 11133	 3576	 2435	 94	 4	 
1337473	 200731	 21828	 4719	 20010	 19112	 4930	 3149	 88	 1	 
868253	 76898	 10534	 12040	 6414	 3618	 2384	 857	 70	 11	 
1555527	 67845	 12381	 27854	 8600	 4956	 8182	 3624	 48	 21	 
86745	 15336	 726	 416	 2125	 941	 3236	 1173	 48	 8	 
1275993	 226377	 54134	 30979	 16585	 21151	 34584	 12672	 44	 29	 
1378670	 188764	 17812	 119060	 31546	 22242	 5966	 2841	 53	 47	 
293747	 8247	 9937	 6641	 1427	 1143	 2304	 596	 53	 61	 
170927	 27674	 2493	 9013	 5540	 15076	 24024	 2230	 75	 78	 
1355187	 362370	 9666	 90878	 38471	 54735	 36022	 23892	 77	 74	 
1082690	 21303	 6697	 24662	 10410	 4913	 1423	 1626	 78	 75	 
1154366	 33442	 4318	 7417	 3104	 2504	 786	 360	 78	 75	 
599246	 616586	 8751	 13907	 15457	 39826	 30231	 18705	 80	 34	 
56421	 19544	 2477	 4866	 9920	 17238	 25836	 9120	 80	 34	 
188732	 28569	 1236	 11997	 3492	 13245	 7870	 5001	 87	 38	 
