Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
576377	 217546	 55293	 33288	 31229	 5127	 12936	 13123	 0	 0	 
524664	 36893	 34940	 5167	 2409	 8251	 2208	 1932	 0	 0	 
2026448	 406842	 36206	 20240	 25884	 22391	 12034	 6907	 0	 0	 
11389	 21189	 8810	 2867	 8984	 9363	 8782	 2164	 51	 40	 
3883	 22033	 9593	 7333	 6181	 12823	 2408	 2003	 66	 44	 
31433	 38101	 2539	 7154	 3112	 4568	 3194	 1346	 70	 43	 
81670	 19105	 10186	 10969	 2043	 14528	 7185	 4743	 87	 51	 
481183	 341501	 26174	 16027	 2783	 20692	 6402	 2650	 75	 41	 
58146	 32074	 7093	 30084	 10739	 13786	 18961	 2989	 69	 47	 
10720	 19212	 20478	 3441	 8261	 7574	 4380	 5567	 75	 60	 
16278	 8292	 11285	 6455	 8118	 25873	 8371	 2378	 81	 56	 
272954	 13783	 2253	 6725	 1671	 2624	 3553	 1230	 88	 70	 
296608	 32074	 14778	 17266	 11194	 15907	 12709	 2436	 90	 69	 
6345	 34834	 1634	 17003	 4514	 14368	 6971	 9884	 93	 63	 
234827	 47601	 1045	 4929	 1824	 8135	 2837	 1147	 78	 47	 
201164	 35780	 8878	 3328	 1027	 5360	 4928	 1680	 78	 40	 
268398	 37272	 583	 12205	 11391	 6528	 3098	 1613	 74	 29	 
743358	 50185	 45658	 107434	 26956	 6073	 6868	 935	 56	 48	 
534809	 67170	 12495	 7697	 7384	 5041	 3781	 1794	 48	 57	 
589200	 83197	 39248	 4978	 16524	 26700	 6569	 7535	 53	 61	 
1224025	 59636	 39789	 15815	 5133	 10497	 7021	 7769	 51	 74	 
179702	 226573	 44147	 4427	 9300	 15474	 4873	 3184	 56	 48	 
499401	 13338	 19200	 8038	 2744	 8346	 3546	 1485	 66	 64	 
4663	 17728	 4749	 7707	 13084	 13293	 14682	 17216	 70	 63	 
309785	 215203	 8499	 47037	 12076	 10545	 12698	 6187	 64	 51	 
3221	 25825	 29286	 13294	 19011	 13237	 29452	 5416	 74	 66	 
