Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
1338228	 499348	 192260	 18781	 29001	 17486	 19037	 15511	 0	 0	 
688068	 322011	 35660	 13229	 67176	 43365	 24069	 5870	 0	 0	 
1007259	 58225	 32131	 15476	 25409	 5930	 3453	 2283	 0	 0	 
209938	 20017	 3815	 4282	 3589	 946	 394	 257	 35	 47	 
649289	 1243100	 21809	 56856	 90457	 36039	 32841	 28127	 26	 30	 
497043	 23632	 8127	 5225	 4804	 2994	 3846	 5203	 35	 41	 
380369	 75748	 10531	 5761	 13700	 3909	 2479	 1448	 35	 40	 
679814	 71597	 53808	 17185	 10801	 26975	 24739	 17321	 60	 48	 
222472	 78159	 2754	 5710	 2987	 3324	 2387	 3024	 64	 56	 
227309	 147310	 31868	 85621	 26584	 12430	 27060	 6506	 56	 63	 
882433	 167961	 58341	 25124	 22594	 8654	 13648	 5283	 53	 75	 
66867	 14888	 7726	 10308	 10356	 5324	 8351	 1796	 50	 74	 
1258463	 30639	 5568	 7174	 4659	 7472	 6228	 4359	 74	 87	 
483311	 266043	 96491	 8145	 59185	 15466	 15574	 8488	 74	 77	 
34503	 38763	 22954	 32888	 9852	 11230	 9967	 7607	 91	 87	 
883059	 234204	 62121	 50662	 13233	 13822	 30852	 10251	 70	 81	 
144241	 78721	 11024	 18496	 26553	 20350	 22193	 9366	 70	 78	 
200007	 169974	 13774	 4328	 19676	 10125	 5613	 1516	 75	 63	 
7893	 7815	 25220	 14240	 16939	 27236	 24295	 3442	 83	 60	 
862784	 327825	 33459	 27975	 22612	 15013	 6170	 6349	 80	 47	 
185791	 45929	 5970	 5841	 6925	 2905	 2644	 973	 54	 47	 
1448364	 238346	 29657	 75856	 8811	 26147	 5958	 5784	 53	 64	 
244161	 238801	 22389	 26964	 103037	 24493	 26436	 7230	 29	 41	 
791264	 58420	 17730	 25833	 4938	 8062	 18121	 3654	 38	 57	 
83673	 10282	 4004	 2535	 319	 861	 1395	 554	 38	 70	 
80099	 142917	 56942	 9684	 33143	 15091	 13429	 5520	 38	 74	 
54060	 58495	 9040	 7689	 10057	 6961	 2348	 2299	 40	 80	 
161230	 123901	 39957	 10861	 32460	 10712	 10094	 3544	 37	 69	 
111948	 52104	 33727	 18622	 10753	 13784	 6335	 8626	 48	 74	 
755475	 111987	 53811	 6099	 10510	 10271	 17440	 10284	 44	 75	 
293916	 28170	 22642	 1035	 6224	 6963	 4619	 2213	 50	 84	 
50372	 55666	 12491	 6265	 29033	 31898	 13716	 5482	 70	 77	 
86908	 13169	 1948	 4131	 2558	 3422	 3387	 1561	 74	 66	 
436715	 424981	 8802	 52906	 58697	 20189	 26189	 10075	 69	 50	 
333839	 43074	 16700	 8363	 4688	 8764	 3906	 1314	 67	 48	 
111718	 19417	 4188	 2912	 3422	 3792	 1507	 1066	 56	 54	 
156363	 24208	 9687	 5181	 5505	 8633	 5160	 1433	 60	 57	 
34004	 18188	 1373	 3906	 1519	 2062	 1635	 1458	 69	 66	 
425411	 81950	 12440	 7867	 9121	 7938	 4324	 2805	 64	 54	 
687315	 59857	 25708	 12525	 30266	 33493	 26208	 18726	 75	 57	 
1395287	 204807	 30157	 181902	 67976	 40770	 29450	 25267	 64	 64	 
252237	 40173	 7872	 3927	 2620	 2522	 2002	 1556	 57	 64	 
1321176	 336790	 39244	 34686	 20654	 40256	 21009	 6280	 60	 64	 
284477	 61692	 11673	 6334	 4095	 5730	 3255	 870	 41	 61	 
47773	 28834	 1894	 8239	 7407	 5415	 5284	 497	 47	 48	 
574650	 38827	 3751	 5913	 7408	 14531	 5969	 5081	 66	 43	 
216585	 141964	 14655	 18766	 47129	 36983	 23899	 24278	 77	 40	 
311149	 85493	 21853	 6229	 6392	 1392	 6659	 952	 57	 43	 
55606	 34604	 4383	 6383	 4484	 29735	 14136	 3764	 74	 37	 
161169	 59863	 12729	 3904	 10490	 6427	 1117	 2294	 57	 41	 
27501	 8199	 2110	 9190	 15334	 12678	 9745	 5708	 67	 51	 
115360	 38078	 8064	 3054	 3337	 5124	 3507	 1569	 91	 48	 
735434	 239496	 28446	 20228	 17613	 30781	 4268	 6401	 74	 48	 
149959	 26663	 6407	 7510	 1805	 3009	 2836	 1187	 70	 56	 
101542	 42840	 18844	 5638	 14033	 4064	 2001	 1398	 47	 57	 
