Signal	 Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
25	 301967	 203324	 28090	 34816	 15280	 6774	 10884	 14416	 0	 0	 
25	 3	 2	 0	 0	 0	 0	 0	 0	 0	 0	 
25	 1	 0	 0	 0	 0	 2	 0	 0	 0	 0	 
25	 85	 100	 19	 104	 33	 24	 26	 20	 0	 0	 
0	 35824	 23135	 2084	 7287	 1111	 3582	 2480	 766	 0	 0	 
0	 371461	 156326	 4733	 20904	 17721	 20330	 20451	 7744	 0	 0	 
0	 1163571	 755743	 22262	 157973	 38267	 38671	 61046	 11559	 0	 0	 
0	 1745802	 81037	 18988	 26163	 9173	 9726	 7035	 10548	 47	 51	 
0	 226369	 27636	 7266	 11832	 6279	 4400	 1630	 1516	 57	 66	 
0	 696530	 76815	 6597	 5605	 4606	 3842	 1850	 2053	 54	 57	 
0	 654254	 16473	 30813	 18023	 8521	 10449	 2334	 5217	 78	 81	 
0	 962227	 216817	 25655	 30976	 26393	 13127	 63072	 9824	 66	 66	 
0	 401975	 20892	 17770	 45271	 5235	 5350	 5652	 2586	 54	 75	 
0	 158804	 101946	 15686	 11064	 20723	 10470	 2349	 2094	 67	 77	 
26	 1644870	 145161	 47937	 22034	 39754	 32186	 3860	 502	 67	 77	 
0	 257821	 32487	 3507	 4183	 2469	 1497	 1194	 691	 35	 48	 
0	 76636	 43635	 9805	 3303	 1182	 7813	 5956	 1616	 63	 48	 
0	 747687	 1160633	 211626	 141587	 26171	 75987	 30284	 19124	 60	 23	 
0	 81201	 13501	 2515	 647	 942	 953	 1292	 809	 50	 23	 
0	 2362909	 103746	 56585	 36013	 18004	 9859	 7167	 5988	 57	 37	 
0	 610429	 179818	 119876	 42398	 11171	 16126	 13479	 14547	 29	 50	 
0	 2617898	 443090	 97113	 64384	 32133	 65852	 20962	 14698	 50	 50	 
0	 2340108	 513979	 98566	 37813	 85865	 42602	 80200	 23876	 54	 53	 
0	 1167247	 347199	 24303	 32505	 48242	 39074	 24755	 7843	 69	 30	 
26	 713776	 52630	 17688	 6277	 6853	 3517	 3111	 1252	 69	 30	 
0	 835902	 44076	 35588	 8333	 5609	 3816	 10791	 571	 67	 30	 
