Delta	 Theta	 Alpha1	 Alpha2	 Beta1	 Beta2	 Gamma1	 Gamma2	 Att	 Med
397440	 97819	 47973	 34865	 16779	 7559	 2217	 9999	 0	 0	 
1111183	 57411	 2531	 5415	 3884	 2094	 1422	 1116	 0	 0	 
264658	 76941	 6217	 4790	 4725	 3246	 1214	 500	 0	 0	 
185478	 12294	 2096	 1664	 1146	 1272	 345	 322	 54	 40	 
357919	 29738	 18432	 5052	 3536	 2410	 2975	 395	 56	 51	 
456895	 137449	 2153	 7595	 8126	 2833	 916	 637	 38	 35	 
286910	 3432	 1592	 1872	 337	 484	 303	 139	 54	 48	 
311406	 40102	 12316	 2414	 15939	 10781	 5629	 4617	 63	 47	 
165430	 52288	 24599	 32496	 10142	 3000	 3152	 1136	 47	 50	 
1627217	 24063	 10694	 4725	 4860	 2182	 1930	 652	 66	 75	 
15127	 39467	 10467	 10322	 2922	 9409	 10645	 5496	 69	 67	 
333625	 16334	 1785	 865	 1903	 808	 1332	 250	 40	 63	 
11880	 1046	 4673	 1591	 13487	 13764	 10832	 4463	 78	 47	 
168764	 106432	 25702	 4563	 9649	 3691	 925	 642	 60	 38	 
781266	 117342	 35224	 15124	 10581	 15707	 12896	 3682	 37	 37	 
363887	 13232	 4752	 1046	 3815	 1057	 648	 128	 34	 47	 
195862	 21724	 960	 1002	 2749	 673	 991	 356	 1	 35	 
849202	 59341	 2031	 4884	 7220	 6355	 1993	 1057	 7	 23	 
1406327	 262001	 91028	 21728	 46198	 18223	 8895	 3404	 1	 23	 
1685628	 25912	 30438	 6108	 3046	 6795	 1228	 868	 4	 37	 
102487	 28224	 475	 2607	 767	 1610	 769	 805	 10	 40	 
345056	 20107	 1191	 4903	 3341	 1770	 996	 812	 8	 50	 
1336827	 127228	 94571	 22078	 58270	 12468	 5323	 2673	 8	 56	 
365947	 7111	 1805	 946	 2297	 801	 653	 491	 7	 40	 
703025	 17593	 7958	 5505	 2241	 1178	 1130	 1184	 3	 61	 
